id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35137,Ροδέλες - Washers screws - 800 pcs - 678948,Ροδέλες - Washers screws - 800 pcs - 678948,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678948.jpg,OEM,No Color,0.2,"<p>Ροδέλες βίδας 800 τεμαχίων. Μεγέθη: M3, M4, M5, M6, M8, M10</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ανταλλακτικά & αναλώσιμα
35138,Copper washer assortments - 150 pcs - 678177,Copper washer assortments - 150 pcs - 678177,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678917.jpg,OEM,No Color,0.2,"<span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Χαλκοί υψηλής αγωγιμότητας, ανθεκτικοί στη διάβρωση, μεγάλη ποικιλία στα μεγέθη, ιδανικοί για βύσματα, νερό, καύσιμα και υδραυλικά εξαρτήματα.</span></span>

<span class=""tlid-translation translation"" lang=""el"">
<span class="""" title="""">Ιδανικοί για ηλεκτρικές συνδέσεις σε οικιακές και εμπορικές συσκευές, αυτοκίνητα και θαλάσσιες χρήσεις στις οποίες η πηγή ισχύος διαθέτει σύνδεση με σπείρωμα.</span></span>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ανταλλακτικά & αναλώσιμα
35139,Επιγραφή ΤΑΞΙ - TAXI Lamp - AC888 - 001436,Επιγραφή ΤΑΞΙ - TAXI Lamp - AC888 - 001436,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/001436.jpg,OEM,No Color,0.2,"<p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Φωτεινή επιγραφή ταξί - 12V DC και 5A. </span></span> <br /><span class=""tlid-translation translation"" lang=""el"">Α<span title="""">διάβροχη, από ανθεκτικό πλαστικό ABS.</span> <br /></span> <span class=""tlid-translation translation"" lang=""el"">Σταθεροποιείται με ισχυρό <span class="""" title="""">μαγνήτη.</span> <br /></span> <span class=""tlid-translation translation"" lang=""el"">Μ<span title="""">ε εσωτερικό φωτισμό κίτρινου χρώματος.</span></span><span class=""tlid-translation translation"" lang=""el""><span class="""" title=""""><br />Διαστάσεις: 26.5 x 9.5 x 9.5cm<br /></span></span></p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ανταλλακτικά & αναλώσιμα
35186,Συσκευή ανύψωσης παραθύρων αυτοκιν,Συσκευή ανύψωσης παραθύρων αυτοκινήτου - 420271,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/420271.jpg,OEM,No Color,4,"<p>Η συσκευή καλύπτει και τα 4 παράθυρα και λειτουργεί μόλις ασφαλίσετε το αυτοκίνητο με τον συναγερμό. <strong>Λειτουργεί μόνο αν υπάρχει συναγερμός, όχι αυτόνομα. </strong>Λειτουργεί στα ηλεκτρικά παράθυρα (όχι χειροκίνητα) του αυτοκινήτου τα οποία έχετε ξεχάσει ανοιχτά και δεν έχετε τον χρόνο να ξανανοίξετε το αυτοκίνητο και να τα κλείσετε ή απλώς δεν θέλετε να ψάχνετε πιο είναι ανοιχτό. Η συσκευή μόλις ασφαλίσετε ξεκινάει να ψάχνει τα 4 παράθυρα ABCD και αναλόγως κλείνει αυτόματα. Είναι μία απλή μα έξυπνη συσκευή που σας ξεκουράζει και σας βοηθά να κλείσετε και να ασφαλίστε το αυτοκίνητό σας χωρίς παράθυρα ξεχασμένα μισάνοιχτα. Η συσκευή κόβει την τροφοδοσία ανύψωσης μόλις έχει φτάσει στο όριο σφράγισης του. Το πακέτο περιλαμβάνει οδηγίες στα Αγγλικά, σχεδιάγραμμα εγκατάστασης, η συσκευή – εγκέφαλος και η καλωδίωση με το φις για τις συνδέσεις.</p><p>Πάντα να εγκαθίσταται από εξειδικευμένο τεχνικό ο οποίος θα κάνει τους κατάλληλους ελέγχους προτού το τοποθετήσει.</p><p>Διαθέτει ISO/TS 16949: 2002</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ανταλλακτικά & αναλώσιμα
36078,Hex units - 150 pcs - 678139,Hex units - 150 pcs - 678139,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678139.jpg,OEM,No Color,0.2,"<h4>Μια συλλογή από 150 τυφλά παξιμάδια σε θήκη με χωρίσματα για εύκολη τακτοποίηση</h4>
<ul>
 	<li>Το σετ περιλαμβάνει μεγέθη M3, M4, M5, M6, M8, M10.</li>
</ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ανταλλακτικά & αναλώσιμα
36080,Σετ λαστιχένιες ροδέλες - Tap reseaters - 12,Σετ λαστιχένιες ροδέλες - Tap reseaters - 125pcs - 678153C,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/678153.jpg,OEM,No Color,0.2,"<p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Σετ 125τμχ λαστιχένιων δακτυλίων διαφόρων μεγεθών, για υδραυλικές εργασίες.<br /></span></span> Σε θήκη εύκολης μεταφοράς και ταξινόμησης.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ανταλλακτικά & αναλώσιμα
36308,Αυτοκόλλητα αυτοκινήτου Carbon - 7x500cm - ,Αυτοκόλλητα αυτοκινήτου Carbon - 7x500cm - 239416 - Μαύρο,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2809_239416.jpg,OEM,No Color,0.1,"<p>Χαρακτηριστικά:</p><ul><li>Mε κανάλια αφαίρεσης αέρος</li><li>Θερμοσυστελόμενη</li><li>100% αδιάβροχη</li><li>Προστατεύει το χρώμα του αυτοκίνητου αλλά και κάθε άλλη επιφάνεια.</li><li>Τοποθετείται, συντηρείται και διορθώνεται εύκολα.</li><li>Τα εργαλεία που χρειάζεστε είναι ένα κοπίδι και ένα σπατουλάκι με καμπύλες (scraper).</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ανταλλακτικά & αναλώσιμα
36310,Αυτοκόλλητα αυτοκινήτου Carbon - 70x50cm - ,Αυτοκόλλητα αυτοκινήτου Carbon - 70x50cm - 239447,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2809_239447.jpg,OEM,No Color,0.1,"<p>Χαρακτηριστικά:</p><ul><li>Mε κανάλια αφαίρεσης αέρος</li><li>Θερμοσυστελόμενη</li><li>100% αδιάβροχη</li><li>Προστατεύει το χρώμα του αυτοκίνητου αλλά και κάθε άλλη επιφάνεια.</li><li>Τοποθετείται, συντηρείται και διορθώνεται εύκολα.</li><li>Τα εργαλεία που χρειάζεστε είναι ένα κοπίδι και ένα σπατουλάκι με καμπύλες (scraper).</li></ul><p>Διαθέσιμα χρώματα: μαύρο, γκρι, λευκό. Σημειώστε το χρώμα προτίμησής σας στις σημειώσεις παραγγελίας - Αποστολή κατόπιν διαθεσιμότητας. </p><p> </p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ανταλλακτικά & αναλώσιμα
36713,Διακόπτης μπαταρίας αυτοκινήτου - W1,Διακόπτης μπαταρίας αυτοκινήτου - W10433 - 675176,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2806_675176.jpg,OEM,No Color,0.2,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""2"">Διακόπτης μπαταρίας αυτοκινήτου κατασκευασμένος από κράμα ψευδαργύρου και ορείχαλκο.</span> <span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""4"">Υψηλή αγωγιμότητα, μειώνει την παραμόρφωση τάσης και την απώλεια ρεύματος μετάδοσης.</span> </span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""6"">Εξαιρετική ανθεκτικότητα και πολύ εύκολη εγκατάσταση.</span> </span><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""8"">Αποσυνδέετε και επανασυνδέετε την μπαταρία με μια απλή στροφή του διακόπτη.</span> </span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""20"">Τάση: 12V</span> </span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""24"">Βάρος συσκευασίας: </span></span><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""en"" data-phrase-index=""24"">160 g</span></span></p><p> </p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ανταλλακτικά & αναλώσιμα
36838,Σετ συνδετήρες αυτοκινήτου - Push Retaine,Σετ συνδετήρες αυτοκινήτου - Push Retainer Clips - 100pcs - 005914,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1308_005914.jpg,OEM,No Color,0.2,"<p>Συνδετήρες αυτοκινήτου - Push Retainer Clips, <br />σετ 100 τεμαχίων, σε διάφορους τύπους και μεγέθη, <br />σε πρακτική πλαστική κασετίνα.</p>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ανταλλακτικά & αναλώσιμα
