id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36268,Ηχείο αυτοκινήτου - Oval - 16x23cm - 800W - MY-69,Ηχείο αυτοκινήτου - Oval - 16x23cm - 800W - MY-6907 - 001610,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/3007_001610.jpg,OEM,No Color,1.0,"<p><span class=""tlid-translation translation"" lang=""el""><span class="""" title=""""> </span></span> <span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Ονομαστική ισχύς: 30W</span></span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Μέγιστη ισχύς: 800W</span></span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Εύρος συχνοτήτων: 85HZ-18KZ </span></span></p><p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Ευαισθησία: 85 ± 2db</span></span></p><p>Περιλαμβάνεται 1 τεμάχιο.</p><ul><li>Διαστάσεις συσκευασίας: 18 x  24cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχεία αυτοκινήτου
36269,Ηχείο αυτοκινήτου - 4x2way - 200W - CTC-1086 - 00,Ηχείο αυτοκινήτου - 4x2way - 200W - CTC-1086 - 001627,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/3007_001627.jpg,OEM,No Color,2,"<p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Ονομαστική ισχύς: 20W. Μέγιστη ισχύς: 200W, εύρος συχνοτήτων: 90HZ-20KZ, ευαισθησία: 88 ± 2db</span></span></p><p>Περιλαμβάνεται 1 τεμάχιο.<br />Αυθεντικό προϊόν Tradesor.</p><ul><li>Διαστάσεις συσκευασίας: 30 x  15cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχεία αυτοκινήτου
36271,Ηχείο αυτοκινήτου - Oval - 6x9' - 1500W - CTC-698,Ηχείο αυτοκινήτου - Oval - 6x9' - 1500W - CTC-6986 - 001658,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/3007_001658.jpg,OEM,No Color,5,"<p><span class=""tlid-translation translation"" lang=""el""><span class="""" title="""">Ηχεία αυτοκινήτου - Oval - 6x9' - 1500W - CTC-1986 <br />Ονομαστική ισχύς: 80W. <br />Μέγιστη ισχύς: 1500W, <br />Εύρος συχνοτήτων: 90HZ-20KZ, <br />Ευαισθησία: 88 ± 2db</span></span></p><p>Περιλαμβάνεται 1 τεμάχιο.<br />Αυθεντικό προϊόν Tradesor.</p><ul><li>Διαστάσεις συσκευασίας: 37 x  27cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχεία αυτοκινήτου
36274,Ηχείο αυτοκινήτου - 13cm - 80W - MY-510 - 001719,Ηχείο αυτοκινήτου - 13cm - 80W - MY-510 - 001719,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/3007_001719.jpg,OEM,No Color,1.0,"<p><span class=""tlid-translation translation"" lang=""el""><span class="""" title=""""> Ονομαστική ισχύς: 20W. <br />Μέγιστη ισχύς: 80W, <br />Εύρος συχνοτήτων: 95HZ-18KZ, <br />Ευαισθησία: 88 ± 2db</span></span></p><p>Περιλαμβάνεται 1 τεμάχιο.<br />Αυθεντικό προϊόν Tradesor.</p><ul><li>Διαστάσεις συσκευασίας: 13 x  12cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχεία αυτοκινήτου
36276,Ηχείο αυτοκινήτου - Oval - 16x23cm - 800W - MY-69,Ηχείο αυτοκινήτου - Oval - 16x23cm - 800W - MY-6910 - 001733,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/3007_001733.jpg,OEM,No Color,1.5,"<p><span class=""tlid-translation translation"" lang=""el""><span class="""" title=""""> Ονομαστική ισχύς: 30W. <br />Μέγιστη ισχύς: 800W, <br />Εύρος συχνοτήτων: 85HZ-18KZ, <br />Ευαισθησία: 88 ± 2db</span></span></p><p>Περιλαμβάνεται 1 τεμάχιο.<br />Αυθεντικό προϊόν Tradesor.</p><ul><li>Διαστάσεις συσκευασίας: 17 x  24cm</li></ul>",AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχεία αυτοκινήτου
37960,Ηχείο αυτοκινήτου - Tweeter - CTC-34G - 001948,Ηχείο αυτοκινήτου - Tweeter - CTC-34G - 001948,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/001948.jpg,PerVoi,No Color,2,<p>Μέγεθος: 38mm<br />Rated Power: 80W<br />Max. Power: 1000W<br />Frequency Responce: 70Hz-20KHz<br />Impedance: 4Ω<br />Sensitivity: 93db/w/m</p><p>Διαστάσεις: 10 x 10 x 8cm</p><p>Περιλαμβάνεται 1 τεμάχιο.</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχεία αυτοκινήτου
37985,Ηχείο αυτοκινήτου - 405 - 002020,Ηχείο αυτοκινήτου - 405 - 002020,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/002020-PhotoRoom.jpg,OEM,No Color,0.8,<p>Μέγεθος: 100mm<br />Max. Power: 50W<br />Frequency Responce: 70Hz-20KHz<br />Impedance: 4Ω<br />Sensitivity: 93db/w/m</p><p>Περιλαμβάνεται 1 τεμάχιο.</p><ul><li>Διαστάσεις συσκευασίας: 11 x  11cm</li></ul>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχεία αυτοκινήτου
55012,Ηχείο αυτοκινήτου - CTC-01G - PerVoi - 004376,Ηχείο αυτοκινήτου - CTC-01G - PerVoi - 004376,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/144329cc8406501550acbde9c4e583c8.jpg,OEM,No Color,1.0,,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχεία αυτοκινήτου
106504,Ηχείο αυτοκινήτου - Tweeter - CTC-63S - 000418,Ηχείο αυτοκινήτου - Tweeter - CTC-63S - 000418,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/000418.jpg,PerVoi,No Color,1.0,<p>RMS Power: 100W<br />Max Power: 1000W<br />Magnet diameter: 100 x 60 x 12mm<br />Διάμετρος πηνίου: 2''<br />Αντίσταση: 6Ω<br />Απόκριση συχνότητας: 100HZ-18KHZ<br />Διαστάσεις ηχείου: 11 x 11 x 5.5cm<br />Περιλαμβάνεται 1 τεμάχιο.</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχεία αυτοκινήτου
106508,Ηχείο αυτοκινήτου - Tweeter - CTC-36G - 000405,Ηχείο αυτοκινήτου - Tweeter - CTC-36G - 000405,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/000405.jpg,PerVoi,No Color,1.0,<p>Μέγεθος: 38mm<br />RMS Power: 80W<br />Max Power: 1000W<br />Αντίσταση: 4Ω<br />Ευαισθησία: 93db<br />Απόκριση συχνότητας: 70HZ-20KHZ<br />Διαστάσεις ηχείου: 8 x 8 x 6.5cm<br />Περιλαμβάνεται 1 τεμάχιο.</p>,AUTO-MOTO-BIKE>Είδη αυτοκινήτου>Ηχεία αυτοκινήτου
