id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36166,Καλώδιο φόρτισης & data - Android - Micro USB - 1M,Καλώδιο φόρτισης & data - Android - Micro USB - 1M - 194732,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0807_194732.jpg,SGL,No Color,0.1,<p>Καλώδιο μεταφοράς δεδομένων 1 μέτρου για Android συσκευές με βύσμα Micro.</p><p>Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36332,Καλώδιο Mini USB Android - V8 - 3M - 194752,Καλώδιο Mini USB Android - V8 - 3M - 194752,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0911_194752.jpg,SGL,No Color,0.1,<p>Καλώδιο Mini USB Android - V8 - 3M - 194752</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36334,Καλώδιο Mini USB Android - V8 - 1M - 194881,Καλώδιο Mini USB Android - V8 - 1M - 194881,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0911_194881_V8-1.jpg,SGL,No Color,0.1,<p>Καλώδιο Mini USB Android - V8 - 1M - 194881.</p><p>Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36662,Καλώδιο USB Type-C to Lightning - TP158B - 1m - 210917,Καλώδιο USB Type-C to Lightning - TP158B - 1m - 210917,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_210917.jpg,SGL,No Color,0.2,<p>Καλώδιο USB Type C σε Lightning για φόρτιση και μεταφορά δεδομένων<br />Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36664,Αντάπτορας Type C-Micro USB - T013B - 202004,Αντάπτορας Type C-Micro USB - T013B - 202004,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_202004.jpg,OEM,No Color,0.1,"<p>Αντάπτορας Type C - Micro USB,  T013B</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36799,Καλώδιο φόρτισης & data - USB to Lightning - 1m - ,Καλώδιο φόρτισης & data - USB to Lightning - 1m - D5 - 194701,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_194701.jpg,SGL,No Color,0.3,<p>Καλώδιο φόρτισης USB to Lightning μήκους 1.0m - D5</p><p>Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36800,Καλώδιο φόρτισης & data - USB to Lightning - 3m - ,Καλώδιο φόρτισης & data - USB to Lightning - 3m - D5 -194721,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_194721.jpg,SGL,No Color,0.3,<p>Καλώδιο φόρτισης USB to Lightning μήκους 3m - D5</p><p>Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36801,Καλώδιο USB Type-C to Lightning - 1.5m - C85 - 241009,Καλώδιο USB Type-C to Lightning - 1.5m - C85 - 241009,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_241009.jpg,SGL,No Color,0.3,"<p>Καλώδιο USB Type-C to Lightning, μήκους 1.5m - C85</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36802,Καλώδιο Lightning to Type-C - 1m - C87 - 872402,Καλώδιο Lightning to Type-C - 1m - C87 - 872402,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_872402.jpg,SGL,No Color,0.3,"<p>Καλώδιο USB Lightning σε Type-C, μήκους 1m - C87 </p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
37322,Αντάπτορας φόρτισης με 2 θύρες USB κα�,Αντάπτορας φόρτισης με 2 θύρες USB και καλώδιο Lightning - 1m - 000097,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/110190.png,SGL,No Color,0.1,<p>Αντάπτορας φόρτισης με 2 θύρες USB και καλώδιο Lightning για νέες συσκευές iOS<br />Μήκος καλωδίου: 1m</p><p>Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
