id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35278,Κάμερα ασφαλείας IP - WiFi - Full HD - Bullet - DS,Κάμερα ασφαλείας IP - WiFi - Full HD - Bullet - DS-2CE16DT - 1080P - 088760,in stock,new,54 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/d0t-1.jpg,OEM,No Color,1.1,"<div class=""parameter-table""><table><tbody><tr><td class=""td1"">Ανάλυση:</td><td class=""td2""> </td><td>2MP CMOS Image Sensor</td></tr><tr><td class=""td1"">Σύστημα:</td><td class=""td2""> </td><td>PAL/NTSC</td></tr><tr><td class=""td1"">Pixels:</td><td class=""td2""> </td><td>1920(H)*1080(V)</td></tr><tr><td class=""td1"">Min. Illumination:</td><td class=""td2""> </td><td>Color: 0.005 Lux @ (F2.0 AGC ON), 0 Lux with IR</td></tr><tr><td class=""td1"">Shutter Time:</td><td class=""td2""> </td><td>1/25(1/30) s to 1/50,000 s</td></tr><tr><td class=""td1"">Lens:</td><td class=""td2""> </td><td>2.8 mm, 3.6 mm, 6 mm fixed focal lens</td></tr><tr><td class=""td1"">Lens Mount:</td><td class=""td2""> </td><td>M12</td></tr><tr><td class=""td1"">Εύρος:</td><td class=""td2""> </td><td>Pan: 0° to 360°, Tilt:0° to 90°, Rotate: 0° to 360°</td></tr><tr><td class=""td1"">Αισθητήρας ημ/νυκ:</td><td class=""td2""> </td><td>Αυτόματη ενεργοποίηση</td></tr><tr><td class=""td1"">Wide Dynamic Range:</td><td class=""td2""> </td><td>120dB</td></tr><tr><td class=""td1"">Video Frame Rate:</td><td class=""td2""> </td><td>1080p@25fps/1080p@30fps</td></tr><tr><td class=""td1"">HD Video Output:</td><td class=""td2""> </td><td>1 Analog HD output</td></tr><tr><td class=""td1"">Synchronization:</td><td class=""td2""> </td><td>Internal Synchronization</td></tr><tr><td class=""td1"">Up the Coax:</td><td class=""td2""> </td><td>Support</td></tr></tbody></table><p> </p></div><div class=""parameter-table""><table><tbody><tr><th colspan=""3"">Menu</th></tr><tr><td class=""td1"">White Balance:</td><td class=""td2""> </td><td>Auto/MWB</td></tr><tr><td class=""td1"">BLC:</td><td class=""td2""> </td><td>Support</td></tr><tr><td class=""td1"">AGC:</td><td class=""td2""> </td><td>Support</td></tr><tr><td class=""td1"">Language:</td><td class=""td2""> </td><td>English/Chinese</td></tr><tr><td class=""td1"">Function:</td><td class=""td2""> </td><td>Brightness, Sharpness, Mirror, Smart IR</td></tr></tbody></table></div><div class=""parameter-table""><p> </p><table><tbody><tr><th colspan=""3"">General</th></tr><tr><td class=""td1"">Operating Conditions:</td><td class=""td2""> </td><td>-40 °C - 60 °C (-40 °F - 140 °F) Humidity 90% or less (non-condensing)</td></tr><tr><td class=""td1"">Power Supply:</td><td class=""td2""> </td><td>12 VDC±25%</td></tr><tr><td class=""td1"">Power Consumption:</td><td class=""td2""> </td><td>Max. 3.5 W</td></tr><tr><td class=""td1"">Weather Proof:</td><td class=""td2""> </td><td>IP67</td></tr><tr><td class=""td1"">IR Range:</td><td class=""td2""> </td><td>Up to 20m</td></tr><tr><td class=""td1""> </td><td class=""td2""> </td><td> </td></tr><tr><td class=""td1"">Dimension:</td><td class=""td2""> </td><td>58 mm × 61 mm × 163 mm (2.28"" × 2.40"" × 6.42"")</td></tr><tr><td class=""td1"">Weight:</td><td class=""td2""> </td><td>Approx. 240 g (0.53 lb.)</td></tr></tbody></table></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>IP κάμερες
36154,Κάμερα ασφαλείας IP - WiFi - Dome - 1080P - 688010,Κάμερα ασφαλείας IP - WiFi - Dome - 1080P - 688010,in stock,new,108 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0707_688010_1-1.jpg,OEM,No Color,1.2,"<p>Δικτυακή κάμερα IR Speed Dome <strong>4MP - FullHD<br /></strong></p><p><strong>EasyIP 3.0 </strong>εξωτερικού χώρου</p><p>H.265+/H.265</p><p>Oπτικό zoom 4x (2.8~ 12 mm, γωνία θέασης 33° ~ 100°)</p><p>Αισθητήριο 1/3""</p><p>Υπέρυθρος φωτισμός <strong>Smart IR εμβέλειας ως 20 m</strong></p><p>Οριζόντια κίνηση 0°~330°, κάθετη κίνηση 0°~90°, οριζόντια ταχύτητα 0.1°~100°/sec και 100°/sec για preset</p><p>Κάθετη ταχύτητα 0.1°~100°/sec και 100°/sec για preset</p><p><strong>120dB WDR, υψηλή ευαισθησία</strong> 0.005 Lux (color) - 0.001Lux (Β/W) - 0 Lux με υπέρυθρο φωτισμό</p><p>3D DNR, HLC, EIS, Regional Exposure / Focus, ROI, 8x VCA Analytics</p><p><strong>Αντιβανδαλιστική προστασία IK10</strong>, <br />βαθμός στεγανότητας IP66, -20°C ~ +60°C, PoE ή 12 VDC, <br />κατανάλωση 12 W, <br />Διάμετρος x ύψος: 131 x 102 mm.</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>IP κάμερες
36628,Κάμερα ασφαλείας IP Lamp - WiFi - 220V - V380 - 32,Κάμερα ασφαλείας IP Lamp - WiFi - 220V - V380 - 321063,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/321063-1.jpg,OEM,No Color,0.8,"<p>Κάμερα παρακολούθησης - Λάμπα WiFi, 220V<br />Αποτελεί αξιόπιστη λύση για διακριτική οπτική και ηχητική επίβλεψη του χώρου σας.</p><p>Οι εγγραφές μπορούν να αποθηκεύονται στο smartphone σας ή σε micro SD κάρτα</p><p>Χαρακτηριστικά:</p><ul><li>Φακός 3.6mm </li><li>Ανάλυση: HD 960p</li><li>Καταγραφή ήχου - Ενσωματωμένο μικρόφωνο</li><li>Ενσωματωμένο ηχείο - Υποστήριξη ενδοεπικοινωνίας</li><li>Night Vision</li><li>Διάμετρος κάμερας 80 mm</li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Πανοραμική λήψη 360 μοιρών<br /></span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Ανιχνευτής κίνησης</span></span></li><li><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""ar"" data-phrase-index=""0"">Υποστήριξη ψηφιακού ζουμ</span></span> στην εικόνα</li><li>Υποδοχή κάρτας μνήμης έως 32GB</li><li>Λειτουργεί με ρεύμα και τοποθετείται σαν μια κανονική λάμπα</li><li>Λειτουργεί και σαν λάμπα φωτισμού 1W LED</li><li>Μορφή Βίντεο AVI</li><li>Bίντεο Codec H.264</li><li>Τάση 250V AC</li><li>Κατανάλωση: Κάτω από 6W</li><li>Συμβατή με Android & IOS</li><li>Διαστάσεις συσκευασίας: 14 x 10 cm</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>IP κάμερες
36818,Κάμερα ασφαλείας IP - WiFi - Bullet - 1080P - 2.8m,Κάμερα ασφαλείας IP - WiFi - Bullet - 1080P - 2.8mm - 659883,in stock,new,63 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_659883.jpg,OEM,No Color,0.8,"<p>Χαρακτηριστικά:</p><ul><li>1/3"" Progressive Scan CMOS</li><li>2560 x 1440@20fps</li><li>2.8mm fixed lens</li><li>Color: 0.028 Lux @ (F2.0, AGC ON)</li><li>H.265, H.265+, H.264, H.264+</li><li>BLC/HLC/3D DNR/ROI</li><li><span class=""a-list-item"">Έως 30m κάλυψη</span></li><li>3-Axis adjustment</li><li>Είναι ανθεκτική στην υγρασία αλλά δεν συνίσταται η άμεση και συνεχόμενη επαφή με νερό.</li><li>Διαστάσεις συσκευασίας: 24x 10 cm</li></ul>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>IP κάμερες
38048,Κάμερα ασφαλείας IP Lamp - WiFi - E27 - 657773,Κάμερα ασφαλείας IP Lamp - WiFi - E27 - 657773,in stock,new,45 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/657773.jpg,OEM,No Color,0.6,"<div><div><div><div><div><div><div data-sort=""14""><div><div><p>Λάμπα LED Ε27, με IP Camera ασφαλείας.<br />Πανοραμική λήψη, με Αισθητήρα Κίνησης & Night Vision<br />Εύκολη στην εγκατάσταση, εύκολη ρύθμιση με εφαρμογή κατευθείαν στο κινητό σας και καταγραφή σε κάρτα μνήμης micro SD.<br />Με μια μόνο συσκευή καλύπτετε όλο τον χώρο σας, χάρη στη πανοραμική λήψη.<br />Δυνατότητα ταυτόχρονης παρακολούθησης σε πραγματικό χρόνο με ήχο και εικόνα.<br />Κατάλληλη για οικιακή και επαγγελματική χρήση.</p><p>Χαρακτηριστικά:</p><ul><li>Ανάλυση: 1920/1080P</li><li>Φακός (mm): 3,6mm</li><li>4 LEDs υψηλής φωτεινότητας</li><li>Συνδεσιμότητα: IP/Ασύρματο δίκτυο WIFI</li><li>Χρώμα: Λευκό</li><li>Ελάχιστος φωτισμός (Lux): 0,1</li><li>Νυχτερινή Λήψη</li><li>Ανίχνευση κίνησης με ειδοποίηση στο κινητό σας</li><li>Αισθητήρας: CMOS</li><li>Megapixel: 2MP</li><li>Μορφή συμπίεσης βίντεο: H.264</li><li>Υποστήριξη κάρτας TF έως 128G (Δεν περιλαμβάνεται)</li><li>Γωνία θέασης: 360°</li><li>Περιστρέφεται 355° οριζόντια / 100° κάθετα</li><li>Αδιαβροχοποιήση: IP66</li><li>Διεπαφή δικτύου: Wi-Fi/802.11/b/g</li><li>Αμφίδρομη φωνητική ενδοεπικοινωνία</li><li>Εφαρμογή λειτουργίας: YOOSEE</li><li>Λογισμικά υποστήριξης: Windows/Mac OS X, Android/iOS</li><li>Διαστάσεις συσκευασίας: 21 x 18 cm</li></ul></div></div></div></div></div></div></div></div></div>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>IP κάμερες
38388,Ηλιακός προβολέας LED & Dummy Camera - T30 - 7003,Ηλιακός προβολέας LED & Dummy Camera - T30 - 700301,in stock,new,15.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/700301.png,OEM,No Color,1.0,"<p>Ηλιακός προβολέας LED σε λευκό χρώμα και σχεδιασμό κάμερας ασφαλείας για να απωθεί τους εισβολείς.<br />Διαθέτει αισθητήρα κίνησης που τον ενεργοποιεί αυτόματα μόλις εντοπίσει οποιαδήποτε κίνηση σε απόσταση έως και 5 μέτρων και εύρος 120 μοίρες.<br />Θερμοκρασία φωτισμού: Ψυχρό λευκό 6500Κ. <br />Ισχύς 60W<br /><strong>3 επιλογές λειτουργίας:</strong><br />1) με αισθητήρα κίνησης,<br />2) επαγωγής & νυχτερινού φωτός – το φως μένει ανοιχτό σε χαμηλή ένταση και όταν ανιχνεύσει κίνηση ανάβει με φωτεινότητα 100%,<br />3) χωρίς αισθητήρα κίνησης – ο προβολέας είναι μόνιμα ανοιχτός.<br />Αδιαβροχοποίηση IP65 και αντοχή σε ακραίες καιρικές συνθήκες.<br />Το ηλιακό πάνελ περιστρέφεται για να βρείτε το ιδανικό σημείο φόρτισης.<br />Ηλιακό πάνελ: 5.5/1.87V<br />Μπαταρία: 3.7V, 4800mAh<br />Χρόνος φόρτισης : 8 ώρες σε πλήρη ηλιοφάνεια.<br />Αυτονομία μπαταρίας: έως 8 ώρες<br />Διαστάσεις πάνελ : 12x18cm.<br />Συνολικές διαστάσεις: 20x30cm.</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>IP κάμερες
39238,Ηλιακή κάμερα ασφαλείας IP - WiFi - Bullet -,Ηλιακή κάμερα ασφαλείας IP - WiFi - Bullet - 1080P - T08T - 365058,in stock,new,72 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/365058.jpg,OEM,No Color,1.0,"<p>Ηλιακή IP Camera - T08T με ηλιακό πάνελ και αισθητήρα κίνησης.<br /><br />Υψηλή ανάλυση 1080P Full-HD<br />Φακός (mm): 4mm<br />Στυλ: Bullet Camera<br />Κατανάλωση ισχύος (W): 7W<br />Νυχτερινή λήψη: 4pcs LED Light, έως 20M<br />Ανίχνευση PIR και ειδοποίηση<br />Ελάχιστος φωτισμός (Lux): 0.1LUX<br />Αισθητήρας: CMOS<br />Megapixels: 2MP<br />Αποθήκευση: Κάρτα μνήμης TF έως 64GB (δεν περιλαμβάνεται)<br />Μορφή συμπίεσης βίντεο: H.264<br />Απόσταση εντοπισμού αισθητήρα IR (m): 850nm / 3-5m<br />Τροφοδοσία: DC 3.7-4.5V<br />Οπτική γωνία : 85 °<br />Υποστηριζόμενα κινητά συστήματα: Android & iOS<br />Έξοδος ήχου: 1CH BNC<br />Eνσωματωμένο ηχείο και μικρόφωνο - αμφίδρομη επικοινωνία<br />Αδιάβροχη: IP66<br />APP: i-Cam+<br />Ηλιακό πάνελ 3.3W<br />Λειτουργία με 2 x μπαταρίες τύπου 18650 (δεν περιλαμβάνονται)<br />Διαστάσεις συσκευασίας: 22 x 14 cm</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>IP κάμερες
61545,Ηλιακή κάμερα ασφαλείας IP - Solar Security ,Ηλιακή κάμερα ασφαλείας IP - Solar Security Camera – FullHD - WiFi - 080151,in stock,new,117 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/06/wifi.jpg,OEM,No Color,2.0,"<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Κάμερα ασφαλείας IP εξωτερικού χώρου, με ηλιακό πάνελ τροφοδοσίας, και εύκολη εγκατάσταση χωρίς καλώδια. Διαθέτει δυνατότητα σύνδεσης WIFI και άμεσου ελέγχου από το smartphone σας. Με ανιχνευτή κίνησης σε έως και 6m για εξοικονόμηση ενέργειας, που ενεργοποιείται και σας ειδοποιεί άμεσα μόλις ανιχνεύσει κίνηση στον χώρο. Προσφέρει υψηλή ευκρίνεια 720p, με νυχτερινή λήψη υπερύθρων έως και 30m (8pcs Array Led(4pcs IR led+4pcs full-color led), με αισθητήρα φωτός που ενεργοποιεί τη νυχτερινή λήψη αυτόματα όταν σκοτεινιάσει. Με αμφίδρομή επικοινωνία μέσω του ενσωματωμένου μικροφώνου και ηχείου που διαθέτει. Δέχεται κάρτα μνήμης micro SD έως 128Gb. Φακός 4mm. Συμπίεση Video: H.264 /H.265 HD Video Quality & Mass Storage. Frame Rate:25fps± internet adaptive adjustment. Οριζόντια περιστροφή 355° και κάθετη κλίση έως 90°. Αδιαβροχοποίηση: IP65.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:1049089,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0,&quot;23&quot;:1}"">Ηλιακή κάμερα ασφαλείας IP εξωτερικού χώρου, με ηλιακό πάνελ τροφοδοσίας, και εύκολη εγκατάσταση χωρίς καλώδια. Διαθέτει δυνατότητα σύνδεσης WIFI και άμεσου ελέγχου από το smartphone σας. <br />Με ανιχνευτή κίνησης σε έως και 6m για εξοικονόμηση ενέργειας, που ενεργοποιείται και σας ειδοποιεί άμεσα μόλις ανιχνεύσει κίνηση στον χώρο. <br />Προσφέρει υψηλή ευκρίνεια 720p, με νυχτερινή λήψη υπερύθρων έως και 30m (8pcs Array Led(4pcs IR led+4pcs full-color led), με αισθητήρα φωτός που ενεργοποιεί τη νυχτερινή λήψη αυτόματα όταν σκοτεινιάσει. <br />Με αμφίδρομη επικοινωνία μέσω του ενσωματωμένου μικροφώνου και ηχείου που διαθέτει. <br />Δέχεται κάρτα μνήμης micro SD έως 128Gb. <br />Φακός 4mm. <br />Συμπίεση Video: H.264 /H.265 HD Video Quality & Mass Storage.<br />Frame Rate:25fps± internet adaptive adjustment. <br />Οριζόντια περιστροφή 355° και κάθετη έως 90°. Αδιαβροχοποίηση: IP65.</span></p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>IP κάμερες
114024,Κάμερα ασφαλείας IP - Security Camera - Q8 - WiFi ,Κάμερα ασφαλείας IP - Security Camera - Q8 - WiFi - 322091,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/07/322091.jpg,OEM,No Color,1.0,"Κάμερα ασφαλείας IP, με εύκολη εγκατάσταση. Διαθέτει δυνατότητα σύνδεσης WIFI και άμεσου ελέγχου από το smartphone σας. Με ανιχνευτή κίνησης σε έως και 6m για εξοικονόμηση ενέργειας, που ενεργοποιείται και σας ειδοποιεί άμεσα μόλις ανιχνεύσει κίνηση στον χώρο. Προσφέρει υψηλή ευκρίνεια 4MP, με νυχτερινή λήψη υπερύθρων έως και 30m (8 x led), με αισθητήρα φωτός που ενεργοποιεί τη νυχτερινή λήψη αυτόματα όταν σκοτεινιάσει. Με αμφίδρομή επικοινωνία μέσω του ενσωματωμένου μικροφώνου και ηχείου που διαθέτει. Χαρακτηριστικά: Ανάλυση: 1080p, Περιστροφή: 355° οριζόντια, 90° κάθετα Κωδικοποίηση εικόνας: H.264 Τύπος βίντεο: PAL Ελάχιστος φωτισμός: 0.1LUX/F1.2 Ευρυγώνιος φακός: Ναι Μέθοδος εγγραφής: χειροκίνητη, αυτόματη μέσω ανίχνευσης κίνησης, χρονικό προγραμματισμό Αποθήκευση βίντεο: Κάρτα SD (έως 128 GB, δεν περιλαμβάνεται) WiFi: υποστήριξη 802.11b/g/n Έλεγχος PTZ: 360º Τάση: DC 5V 2A Ισχύς: 5W Θερμοκρασία λειτουργίας: 0℃ ∼ 55℃ Υγρασία: 10%-90% Συμβατότητα λογισμικού: Android, iOS",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>IP κάμερες
114027,Κάμερα ασφαλείας IP πρίζας - Security Camera,Κάμερα ασφαλείας IP πρίζας - Security Camera - WiFi - 322084,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/07/322084-PhotoRoom.png,OEM,No Color,1.0,"Κάμερα ασφαλείας πρίζας IP - Security Camera, με σύνδεση Wifi και εύκολο χειρισμό από τον υπολογιστή ή το smartphone σας. Με ανιχνευτή κίνησης σε έως και 6m για εξοικονόμηση ενέργειας, που ενεργοποιείται και σας ειδοποιεί άμεσα (alarm push) μόλις ανιχνεύσει κίνηση στον χώρο. Προσφέρει υψηλή ευκρίνεια 720p, με νυχτερινή λήψη υπερύθρων. Με αμφίδρομή επικοινωνία μέσω του ενσωματωμένου μικροφώνου και ηχείου που διαθέτει. Wifi 2.4GHz. Υποδοχή κάρτας SD έως 128GB. Περιστρεφόμενη οριζόντια 355° & κάθετα 90°.",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Συστήματα ασφαλείας>IP κάμερες
