id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35179,Μετροταινία - 20m×15mm - Measuring Roll - Finder - 19,Μετροταινία - 20m×15mm - Measuring Roll - Finder - 191499,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/finder_measuring_tape2020.jpg,Finder,No Color,3.5,<p>Μετροταινία - Measuring Tape - 20m×15mm - Finder</p>,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Όργανα μέτρησης
35180,Μετροταινία - 30m×15mm - Measuring Roll - Finder - 19,Μετροταινία - 30m×15mm - Measuring Roll - Finder - 191500,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/finder_measuring_tape2020.jpg,Finder,No Color,3.5,<p>Μετροταινία - Measuring Tape - 30m × 15mm - Finder </p>,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Όργανα μέτρησης
35181,Μετροταινία - 50m×15mm - Measuring Roll - Finder - 19,Μετροταινία - 50m×15mm - Measuring Roll - Finder - 191501,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/finder_measuring_tape2020.jpg,Finder,No Color,3.5,<p>Μετροταινία - Measuring Tape - 50m × 15mm - Finder</p>,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Όργανα μέτρησης
35182,Μετροταινία - 50m×12.5mm - Measuring Roll - Finder - ,Μετροταινία - 50m×12.5mm - Measuring Roll - Finder - 191503,in stock,new,19.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/finder_measuring_tape2020.jpg,Finder,No Color,3.5,<p>Μετροταινία - Measuring Tape - 50m × 12.5mm - Finder</p>,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Όργανα μέτρησης
35183,Μετροταινία - 30m×12.5mm - Measuring Roll - Finder - ,Μετροταινία - 30m×12.5mm - Measuring Roll - Finder - 191502,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/finder_measuring_tape2020.jpg,Finder,No Color,3.5,<p>Μετροταινία - Measuring Tape - 30m × 12.5mm - Finder </p>,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Όργανα μέτρησης
35184,Μετροταινία - 50m×15mm - Measuring Roll - Finder - 19,Μετροταινία - 50m×15mm - Measuring Roll - Finder - 191506_50,in stock,new,19.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/finder_measuring_tape2020.jpg,Finder,No Color,3.5,"<p>Μετροταινία - 50m × 15mm, Finder</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Όργανα μέτρησης
35308,Παχύμετρο - 15cm - Finder - 191438,Παχύμετρο - 15cm - Finder - 191438,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/700-large_default.jpg,Finder,No Color,1,"<p>Παχύμετρο με κλίμακα Vernier, μεγέθους 15εκ.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Όργανα μέτρησης
35493,Αλφάδι μαγνητικό - 50cm - Finder - 191432,Αλφάδι μαγνητικό - 50cm - Finder - 191432,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2021/11/191433.jpg,OEM,No Color,0.2,"<p>Μαγνητικό αλφάδι 50cm φτιαγμένο από αλουμίνιο, με PVC κάλυμμα και φυσαλίδα ABS, με χάρακα στη πλαϊνή πλευρά.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Όργανα μέτρησης
35741,Μετροταινία - Tape Measure Pro - 3m - Finder - 191416,Μετροταινία - Tape Measure Pro - 3m - Finder - 191416,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_191411.jpg,Finder,No Color,0.2,<p>Μετροταινία - Tape Measure Pro - 3Μ - Finder </p>,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Όργανα μέτρησης
36355,Μετροταινία - Tape Measure - 3m - Finder - 191395,Μετροταινία - Tape Measure - 3m - Finder - 191395,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_191395-1.jpg,Finder,No Color,0.4,<p>Μετροταινία - Tape Measure - 3m - Finder </p>,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Όργανα μέτρησης
36356,Μετροταινία - Tape Measure Pro - 5m - Finder - 191396,Μετροταινία - Tape Measure Pro - 5m - Finder - 191396,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2411_191396.jpg,Finder,No Color,0.5,<p>Μετροταινία - Tape Measure - 5m - Finder </p>,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Όργανα μέτρησης
