id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35384,Ανταλλακτικές λάμες σιδηροπρίονου ,Ανταλλακτικές λάμες σιδηροπρίονου - Finder - Hacksaw - Medium - 191573,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/πριονολεπίδα-finder-hacksaw-medium-191573.jpg,OEM,No Color,0.2,"Ανταλλακτικές λάμες σιδηροπρίονου, σετ 3 τεμαχίων, μεγέθους 12''*24T, φτιαγμένη από υλικό T15",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ανταλλακτικά εργαλείων & αναλώσιμα
35631,Σετ 7Χ - Παξιμάδια - 10mm - 658597,Σετ 7Χ - Παξιμάδια - 10mm - 658597,in stock,new,0.63 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/658597.jpg,OEM,No Color,0.2,Σετ 7Χ - Παξιμάδια - 10mm - 658597,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ανταλλακτικά εργαλείων & αναλώσιμα
35632,Σετ 12Χ - Παξιμάδια - 8mm - 658596,Σετ 12Χ - Παξιμάδια - 8mm - 658596,in stock,new,0.63 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/658596.jpg,OEM,No Color,0.2,Σετ 12Χ - Παξιμάδια - 8mm - 658596,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ανταλλακτικά εργαλείων & αναλώσιμα
35633,Σετ 30Χ - Παξιμάδια - 6mm - 658595,Σετ 30Χ - Παξιμάδια - 6mm - 658595,in stock,new,0.63 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/658595.jpg,OEM,No Color,0.2,Σετ 30Χ - Παξιμάδια - 6mm - 658595,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ανταλλακτικά εργαλείων & αναλώσιμα
35634,Σετ 50Χ - Παξιμάδια - 5mm - 658594,Σετ 50Χ - Παξιμάδια - 5mm - 658594,in stock,new,0.63 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/658594.jpg,OEM,No Color,0.2,Σετ 50Χ - Παξιμάδια - 5mm - 658594,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ανταλλακτικά εργαλείων & αναλώσιμα
35635,Ροδέλες - 50pcs - 8mm - 658610,Ροδέλες - 50pcs - 8mm - 658610,in stock,new,0.63 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/658610.jpg,OEM,No Color,0.2,"<p>Ροδέλες μεταλλικές, σετ 50 τεμαχίων, μεγέθους 8mm.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ανταλλακτικά εργαλείων & αναλώσιμα
35636,Ροδέλες - 50pcs - 6mm - 658609,Ροδέλες - 50pcs - 6mm - 658609,in stock,new,0.63 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/658609.jpg,OEM,No Color,0.2,"<p>Ροδέλες μεταλλικές, σετ 50 τεμαχίων, μεγέθους 6mm.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ανταλλακτικά εργαλείων & αναλώσιμα
35637,Ροδέλες - 50pcs - 5mm - 658608,Ροδέλες - 50pcs - 5mm - 658608,in stock,new,0.63 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/658608.jpg,OEM,No Color,0.2,"<p>Ροδέλες μεταλλικές, σετ 50 τεμαχίων, μεγέθους 5mm.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ανταλλακτικά εργαλείων & αναλώσιμα
35638,Κολάρα - Ρόκα - Σετ 20Χ - 12mm - 658649,Κολάρα - Ρόκα - Σετ 20Χ - 12mm - 658649,in stock,new,0.63 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/stirigma-roka-strongylo-16mm-45mm-sysk.50tem.-huge1-1.jpg,OEM,No Color,0.3,Κολάρα - Ρόκα - Σετ 20Χ - 12mm - 658649,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ανταλλακτικά εργαλείων & αναλώσιμα
35639,Κολάρα - Ρόκα - Σετ 20Χ - 10mm - 658648,Κολάρα - Ρόκα - Σετ 20Χ - 10mm - 658648,in stock,new,0.63 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/stirigma-roka-strongylo-16mm-45mm-sysk.50tem.-huge1-1.jpg,OEM,No Color,0.3,Κολάρα - Ρόκα - Σετ 20Χ - 10mm - 658648,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Ανταλλακτικά εργαλείων & αναλώσιμα
