id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35155,"Πένσα - 8"" - Finder - 191828_8","Πένσα - 8"" - Finder - 191828_8",in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15589660142365177.jpg,Finder,No Color,0.2,<p>Πένσα Finder διάστασης 8' με εργονομική λαβή και ισχυρό ατσάλι.</p>,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
35178,"Μυτοτσίμπιδο - 6"""" - 0052 - Finder 190005","Μυτοτσίμπιδο - 6"""" - 0052 - Finder 190005",in stock,new,3.24 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/190005.png,OEM,No Color,0.2,"<p>Μέγεθος: 150mm/6""""<br />Hardness: 55-58HRC</p><p>Φτιαγμένο από ανοξείδωτο ατσάλι, διαθέτει εργονομική λαβή.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
35323,"Μυτοτσίμπιδο - 4.5"" - Finder - 190333","Μυτοτσίμπιδο - 4.5"" - Finder - 190333",in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/s-l640.jpg,OEM,No Color,0.2,"<p>Μέγεθος: 4.5""""<br />Hardness: 55-62HRC</p><p>Φτιαγμένο από ανοξείδωτο ατσάλι, διαθέτει λαβή τύπου TPR.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
35378,Μυτοτσίμπιδο - 8'' - Finder - 190006,Μυτοτσίμπιδο - 8'' - Finder - 190006,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/190005.png,OEM,No Color,0.2,"<p>Μέγεθος: 200mm/8''<br />Hardness: 55-58HRC</p><p>Φτιαγμένο από ανοξείδωτο ατσάλι, διαθέτει εργονομική λαβή.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
35380,Πένσα Grip συγκόλλησης - 10'' - Finder - 190189,Πένσα Grip συγκόλλησης - 10'' - Finder - 190189,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/190189.jpg,Finder,No Color,0.2,<p>Μέγεθος: 250mm/10''<br />Hardness: 40-48HRC</p><p>Φτιαγμένο από ανοξείδωτο ατσάλι.</p>,ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
35382,Πένσα - Mini εμπροσθοκόφτης ηλεκτρονι,Πένσα - Mini εμπροσθοκόφτης ηλεκτρονικών - 4.5'' - Finder - 190334,in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/190334.png,Finder,No Color,0.2,"<p>Μέγεθος: 4.5''<br />Hardness: 55-62HRC</p><p>Φτιαγμένο από ανοξείδωτο ατσάλι, διαθέτει λαβή τύπου TPR.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
35383,Μυτοτσίμπιδο - 4.5'' - Finder - 190337,Μυτοτσίμπιδο - 4.5'' - Finder - 190337,in stock,new,2.16 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/190337.png,OEM,No Color,0.2,"<p>Μέγεθος: 4.5''<br />Hardness: 55-62HRC</p><p>Φτιαγμένο από ανοξείδωτο ατσάλι, διαθέτει λαβή τύπου TPR.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
35522,"Πένσα Grip - Σκύλα - 6"""" - Finder - 190200","Πένσα Grip - Σκύλα - 6"""" - Finder - 190200",in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/πένσα-από-ατσάλι-150mm-finder-190200.jpg,Finder,No Color,0.2,"<p>Μέγεθος: 150mm/6""""<br />Hardness: 45-55HRC</p><p>Φτιαγμένο από Cr-Mo ατσάλι.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
35531,"Μυτοτσίμπιδο κυρτό - 8"""" - 200mm - Finder - 1904","Μυτοτσίμπιδο κυρτό - 8"""" - 200mm - Finder - 190464",in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1308_190463.jpg,OEM,No Color,0.2,"<p>Μέγεθος: 200mm/8""""<br />Hardness: 55-58HRC</p><p>Φτιαγμένο από ανοξείδωτο ατσάλι, διαθέτει εργονομική λαβή.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
35532,"Μυτοτσίμπιδο - 8"""" - 200mm - Finder - 190462","Μυτοτσίμπιδο - 8"""" - 200mm - Finder - 190462",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/πένσα-8-200mm-finder-190462.jpg,OEM,No Color,0.2,"<p>Μέγεθος: 200mm/8""""<br />Hardness: 55-58HRC</p><p>Φτιαγμένο από ανοξείδωτο ατσάλι, διαθέτει εργονομική λαβή.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
35534,"Μυτοτσίμπιδο κυρτό - 6"""" - 150mm - Finder - 1904","Μυτοτσίμπιδο κυρτό - 6"""" - 150mm - Finder - 190463",in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1308_190463.jpg,OEM,No Color,0.2,"<p>Μέγεθος: 150mm/6""""<br />Hardness: 55-58HRC</p><p>Φτιαγμένο από ανοξείδωτο ατσάλι, διαθέτει εργονομική λαβή.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
35985,"Πένσα Grip - Σκύλα - 9"""" - 225mm - Finder - 190201","Πένσα Grip - Σκύλα - 9"""" - 225mm - Finder - 190201",in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15842483070029890.jpg,Finder,No Color,0.2,"<p>Μέγεθος: 225mm/9""""<br />Hardness: 45-55HRC</p><p>Φτιαγμένο από Cr-Mo ατσάλι.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
35994,Σετ πένσες - 5pcs - 125mm - Finder - 190135,Σετ πένσες - 5pcs - 125mm - Finder - 190135,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15842588834221441.jpg,Finder,No Color,0.2,"<p>Μικρές πένσες Finder, σετ 5 τεμαχίων, με διαφορετικές κεφαλές. <br />Μέγεθος 125mm.</p>",ΕΡΓΑΛΕΙΑ & ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Εργαλεία>Πενσοειδή
