id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36432,Παιδικό μαγικό πινέλο Glow Crazy - 6230 - 3220,Παιδικό μαγικό πινέλο Glow Crazy - 6230 - 322019,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/916rejI5NxL._AC_SL1500_.jpg,OEM,No Color,2.5,"<p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Το Glow Crazy είναι ένα μαγικό σετ ζωγραφικής με φωτισμό που θα ξετρελάνει τα παιδιά.</span></span></p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""0"">Ζωγραφίστε με το μαγικό πινέλο χωρίς να λερώσετε τίποτα και δημιουργείστε τα πιο απίθανα σχέδια με την βοήθεια των ειδικών προτύπων στένσιλ που περιλαμβάνονται ή και μόνοι σας. Τα σχέδια διατηρούνται για λίγη ώρα και εξαφανίζονται σταδιακά μόνα τους ώστε να δημιουργείς νέα ξανά και ξανα!<br /></span></span></p><p>Διαστάσεις καμβά: 58.5 x 22cm</p><p>Λειτουργεί με 2 μπαταρίες AAA (δεν περιλαμβάνονται)</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p><p><span class=""VIiyi"" lang=""el""><span class=""JLqJ4b ChMk0b"" data-language-for-alternatives=""el"" data-language-to-translate-into=""auto"" data-phrase-index=""6""> </span></span></p>",ΠΑΙΧΝΙΔΙΑ>Πίνακες ζωγραφικής
36536,Παιδικός μαγικός πίνακας ζωγραφική,Παιδικός μαγικός πίνακας ζωγραφικής - Draw with Light - 742364,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/742364.jpg,OEM,No Color,2.5,"<p>Διαστάσεις συσκευασίας: 22Χ30 εκ.</p><p>1. Θα βοηθήσει το παιδί να αποκαλύψει τις δημιουργικές του δυνατότητες, αλλά ταυτόχρονα, τα έπιπλα και η ταπετσαρία στο διαμέρισμά σας δεν θα ""διακοσμηθούν"" με μοτίβα και χειρόγραφα.<br />2. Πάρτε ένα ειδικό tablet με επίστρωση που συσσωρεύει φως, με δείκτη φακού και ξεκινήστε να σχεδιάζετε! Από το άγγιγμα του ""πινέλου"" στον ""καμβά"" θα υπάρχουν φωτεινές γραμμές, η φωτεινότητα και η διαύγεια των οποίων εξαρτάται από την απόσταση από το δείκτη έως το tablet και τη γωνία κλίσης. Δεν μπορείτε να σβήσετε από την επιφάνεια εργασίας, αλλά μπορείτε να σχεδιάσετε στην κορυφή, καθώς κάθε νέα γραμμή θα είναι φωτεινότερη από την προηγούμενη. Εντελώς η ίδια εικόνα εξαφανίζεται σε 30-40 λεπτά.<br />3. Στο άλλο άκρο του δείκτη υπάρχει ένα στυλό με ειδικό μελάνι που εμφανίζεται μόνο κάτω από το φως του φακού. Δεν μπορεί να σχεδιαστεί σε tablet - χρησιμοποιήστε απλό χαρτί για αυτό!</p>",ΠΑΙΧΝΙΔΙΑ>Πίνακες ζωγραφικής
36538,Σετ ζωγραφικής με αξεσουάρ - 3D - 3624 - 9,Σετ ζωγραφικής με αξεσουάρ - 3D - 3624 - 909014,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/909014.jpg,OEM,No Color,2.5,"<p>Ζωγραφίστε μαγικά σχέδια με τα στυλό σχεδίασης, και δείτε τα σε τρισδιάστατη μορφή με τα ειδικά γυαλιά.</p><p>Διαστάσεις συσκευασίας: 30 x 34cm</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.<br />Κατάλληλο για παιδιά άνω των 6 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Πίνακες ζωγραφικής
36539,Σετ ζωγραφικής με αξεσουάρ - 3D - 3674 - 9,Σετ ζωγραφικής με αξεσουάρ - 3D - 3674 - 909083,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/909083.jpg,OEM,No Color,2.5,"<p>Ζωγραφίστε μαγικά σχέδια με τα στυλό σχεδίασης, και δείτε τα σε τρισδιάτατη μορφή με τα ειδικά γυαλιά.</p><p>Διαστάσεις συσκευασίας: 30Χ34 εκ.</p>",ΠΑΙΧΝΙΔΙΑ>Πίνακες ζωγραφικής
37254,Πολυλειτουργικός πάγκος ζωγραφική�,Πολυλειτουργικός πάγκος ζωγραφικής και κατασκευών - 669-25A - 313431 - Blue,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/313431_bl.jpeg,OEM,No Color,2.5,<p>Πολυλειτουργικός πάγκος ζωγραφικής και κατασκευών με τουβλάκια 2 σε 1. Ένα ολοκληρωμένο παιχνίδι με πλήρες σετ από σύνεργα και αξεσουάρ για ατελείωτη διασκέδαση! Περιλαμβάνει 150 τουβλάκια με βάση κατασκευών και μαγνητικό πίνακα ζωγραφικής με στυλό και σφραγίδες.</p><ul><li>Διαστάσεις τραπεζιού: 37.5 x 17.5 x 25cm</li><li>Διαστάσεις συσκευασίας: 28 x 34 x 8cm</li></ul><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Πίνακες ζωγραφικής
38229,Πίνακας ζωγραφικής με σταντ - 050-37 - 28,Πίνακας ζωγραφικής με σταντ - 050-37 - 286602,in stock,new,25.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/286602.jpg,OEM,No Color,2.5,"<p>Πίνακας ζωγραφικής με σταντ και ρυθμιζόμενο ύψος. Διαθέτει σετ από σφραγίδες σε διάφορα σχέδια,για όμορφες δημιουργίες που θα εντυπωσιάσουν. <br />Διαθέτει επίσης, έξτρα πινακάκι ζωγραφικής που τοποθετείται στα ειδικά κρεμαστράκια, όπου μπορεί να τοποθετηθεί χαρτί, για επιπλέον δυνατότητες ζωγραφικής.</p><p>Διαστάσεις: 62 (max ύψος) x 30 x 33cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Πίνακες ζωγραφικής
38241,Μοκέτα ζωγραφικής - Water magic & Glow - QZ-066 -,Μοκέτα ζωγραφικής - Water magic & Glow - QZ-066 - 760019,in stock,new,11.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/760019.jpeg,OEM,No Color,2.5,<p>Διαστάσεις προιόντος: 78 x 58.5cm<br />Διαστάσεις συσκευασίας: 21.5 x 23.5 x 5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας.</p><p>Κατάλληλο για παιδιά από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Πίνακες ζωγραφικής
38747,Παιδικός πάγκος ζωγραφικής - Μαγνητ,Παιδικός πάγκος ζωγραφικής - Μαγνητικός - 2207A - 020353,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/020353.jpg,OEM,No Color,2.0,"<p>Παιδικός πάγκος ζωγραφικής σε πανέμορφο εργονομικό σχεδιασμό που θα σε ξετρελάνει! Είναι μαγνητικός και περιλαμβάνει στυλό και σφραγίδες με σχήματα. <br />Ζωγράφισε με ασφάλεια, χωρίς να λερώνεις, ενώ μπορείς με μία κίνηση να καθαρίσεις τον πίνακα για να δημιουργήσεις νέα σχέδια!</p><p>Διαστάσεις συσκευασίας: 21 x 26 x 4cm<br />Διαστάσεις προϊόντος: 21 x 25 x 12cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Πίνακες ζωγραφικής
39306,Παιχνίδι ζωγραφικής με δεινοσαύρου,Παιχνίδι ζωγραφικής με δεινοσαύρους - 1688-63 - 567896,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/567896-1.jpg,OEM,No Color,0.8,<p>Διαστάσεις συσκευασίας: 23 x 24.5 x 3.5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>,ΠΑΙΧΝΙΔΙΑ>Πίνακες ζωγραφικής
39386,Πίνακας εκπαίδευσης και ζωγραφικής,Πίνακας εκπαίδευσης και ζωγραφικής Δεινοσαυράκι - Dino Drawing Βoard - 3659C - 684936,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/684936.jpg,OEM,No Color,6.0,"<p>Πίνακας εκπαίδευσης και ζωγραφικής σε σχεδιασμό Δεινοσαυράκι - Dino Drawing Βoard, με καμβά ζωγραφικής και μαγνητικούς αριθμούς για μαθηματικές πράξεις και εκπαιδευτικά παιχνίδια. Ένα παιχνίδι που συνδυάζει υπέροχα τη δημιουργικότητα, την εκπαίδευση και τη διασκέδαση.</p><p>Διαστάσεις συσκευασίας: 40.5 x 46 x 9cm<br />Διαστάσεις προϊόντος: 36.5 x 62 x 29.5cm</p><p>Πληροί όλα τα πρότυπα ασφαλείας. <br />Κατάλληλο για παιδιά ηλικίας από 3 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Πίνακες ζωγραφικής
