id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35377,Παιδικό παιχνίδι - Μίνι τουαλέτα - 140,Παιδικό παιχνίδι - Μίνι τουαλέτα - 1406A,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15619097556275772-1.jpg,OEM,No Color,2.5,<p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια DIY & Τουβλάκια
35927,Παιδικό παιχνίδι - 5535,Παιδικό παιχνίδι - 5535,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/5535.jpg,OEM,No Color,2.5,<p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια DIY & Τουβλάκια
36093,Παιχνίδι λεωφορείο - P55-16,Παιχνίδι λεωφορείο - P55-16,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/010031.jpg,OEM,No Color,2.5,"<p>Παιχνίδι διώροφο λεωφορείο με φωτάκια.</p><p>Οργάνωσε εκδρομές και παίξε με τις κούκλες σου. Οι διαστάσεις της συσκευασίας είναι: Υ. 21cm, Π. 28cm, Φ. 12cm.</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 3 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια DIY & Τουβλάκια
36094,Συναρμολογούμενο αυτοκίνητο - 842 - 332,Συναρμολογούμενο αυτοκίνητο - 842 - 332021,in stock,new,27 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/332021-1.jpg,OEM,No Color,2.5,"<p>Συναρμολόγησε το δικό σου εντυπωσιακό, αγωνιστικό αυτοκίνητο και οργάνωσε ατελείωτους αγώνες με την παρέα σου!</p><ul><li>Διαστάσεις συσκευασίας: 48 x 35 x 6cm</li><li>Διαστάσεις αυτοκινήτου: 29 x 13cm</li></ul><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 6 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια DIY & Τουβλάκια
36284,Συναρμολογούμενο όχημα εργασιών - 85,Συναρμολογούμενο όχημα εργασιών - 856855,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/A_856855.jpg,OEM,No Color,2.5,"<p>Συναρμολογούμενο όχημα εργασιών.</p><p>Υπέροχο εκπαιδευτικό παιχνίδι κατασκευής και συναρμολόγησης που μαθαίνει στο παιδί τα οχήματα και την χρησιμότητά τους! Στη συσκευασία θα βρεις το όχημα σε κομμάτια και ένα εργαλείο με το οποίο θα το συναρμολογήσεις. Ανακάλυψε όλα τα οχήματα της σειράς και κάνε τη συλλογή σου διασκεδάζοντας και μαθαίνοντας παράλληλα! Οι διαστάσεις της συσκευασίας είναι: Υ. 19.2cm, Π. 33cm.</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 6 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια DIY & Τουβλάκια
36288,Συναρμολογούμενο όχημα - 227359,Συναρμολογούμενο όχημα - 227359,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/A_227366-1.jpg,OEM,No Color,2.5,"<p>Υπέροχο εκπαιδευτικό παιχνίδι κατασκευής και συναρμολόγησης που μαθαίνει στο παιδί τα οχήματα και την χρησιμότητά τους! Στη συσκευασία θα βρεις το όχημα σε κομμάτια και ένα εργαλείο με το οποίο θα το συναρμολογήσεις. Ανακάλυψε όλα τα οχήματα της σειράς και κάνε τη συλλογή σου διασκεδάζοντας και μαθαίνοντας!</p><p>Διαστάσεις συσκευασίας: Υ. 21cm, Π. 27.8cm, Φ. 8cm.</p><p>Η συσκευασία περιλαμβάνει 1 όχημα.</p><p>Διαθέσιμο σε διάφορα σχέδια - Αποστολή κατόπιν διαθεσιμότητας.</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας από 6 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια DIY & Τουβλάκια
36289,Συναρμολογούμενο όχημα πυροσβεστι�,Συναρμολογούμενο όχημα πυροσβεστικής - 227342,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/A_991339-1.jpg,OEM,No Color,2.5,"<p>Υπέροχο εκπαιδευτικό παιχνίδι κατασκευής και συναρμολόγησης που μαθαίνει στο παιδί τα οχήματα και την χρησιμότητά τους! Στη συσκευασία θα βρεις το όχημα σε κομμάτια και ένα εργαλείο με το οποίο θα το συναρμολογήσεις. Ανακάλυψε όλα τα οχήματα της σειράς και κάνε τη συλλογή σου διασκεδάζοντας και μαθαίνοντας!</p><p>Διαστάσεις συσκευασίας: Υ. 21cm, Π. 27.8cm, Φ. 8cm.</p><p>Η συσκευασία περιλαμβάνει 1 όχημα.</p><p>Διαθέσιμο σε διάφορα σχέδια - Αποστολή κατόπιν διαθεσιμότητας.</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας από 6 ετών και άνω.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια DIY & Τουβλάκια
36531,Παιδικός πίνακας τρίλιζα - 007-37 - 022334,Παιδικός πίνακας τρίλιζα - 007-37 - 022334,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/022334.jpg,OEM,No Color,2.5,"<p>Το διαχρονικό παιχνίδι τρίλιζας, τώρα με νέο σχεδιασμό, για ατελείωτο παιχνίδι με όλη την οικογένεια!</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 6 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια DIY & Τουβλάκια
36537,Παιδικό παζλ με γράμματα - 7077-80 - 888887,Παιδικό παζλ με γράμματα - 7077-80 - 888887,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/888887.jpg,OEM,No Color,2.5,<p>Αναπτύξτε την νοημοσύνη του παιδιού σας με αυτό το παιδικό παζλ αναγνώρισης γραμμάτων.</p><p>Διαστάσεις συσκευασίας: 27Χ23 εκ.</p>,ΠΑΙΧΝΙΔΙΑ>Παιχνίδια DIY & Τουβλάκια
36754,Παιχνίδι πολύχρωμη τρίλιζα - 5163 - 00000,Παιχνίδι πολύχρωμη τρίλιζα - 5163 - 000009,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/000009.jpg,OEM,No Color,2.5,"<p>Παιχνίδι πολύχρωμη τρίλιζα: τράβηξε την κάρτα, δημιούργησε το σχέδιο που σου έτυχε και κέρδισε τους όλους!</p><p>Διαστάσεις συσκευασίας: 25 x 20cm</p><p>Πληροί όλα τα πρωτόκολλα ασφαλείας.</p><p>Κατάλληλο για παιδιά ηλικίας άνω των 6 ετών.</p>",ΠΑΙΧΝΙΔΙΑ>Παιχνίδια DIY & Τουβλάκια
