id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35134,Ισιωτική μαλλιών - KM-19112 - Multistyler - Kemei,Ισιωτική μαλλιών - KM-19112 - Multistyler - Kemei,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20170112091737_kemei_km_19112.jpeg,Kemei,No Color,0.6,"<p>Με την συσκευή ισιώματος μαλλιών 3 σε 1 της Kemei θα δημιουργήσετε εύκολα οποιοδήποτε look μπορείτε να φανταστείτε καθώς συνδυάζει τρεις διαφορετικές λειτουργίες σε ένα εργαλείο:</p><ul><li>Ισιωτική</li><li>Σωλήνας για μπούκλες</li><li>Πλάκες για κυματιστό look-τοστ.</li></ul><p>Φτιάξτε με μια συσκευή, σε ελάχιστο χρόνο, άψογα ίσια, σγουρά ή κυματιστά μαλλιά, χωρίς φθορές και σπασίματα χάρη στην τεχνολογία τουρμαλίνης!</p><p>Κατάλληλο και για επαγγελματική χρήση.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Ταχεία θέρμανση</li><li>Χωρίς αυτόματη απενεργοποίηση</li><li>Διάμετρος 16-20mm</li><li>Ισχύς: 25-39W</li><li>Εύρος θερμοκρασίας: 100 ℃ - 230 ℃</li><li>Διακόπτης ON / OFF</li><li>Λυχνία λειτουργίας</li><li>Κλείδωμα ασφαλείας</li><li>Περιστροφικό καλώδιο</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη κομμωτηρίου>Ισιωτικές μαλλιών και ηλεκτρικές βούρτσες
35264,Ισιωτική μαλλιών - GM-2956 - Gemei,Ισιωτική μαλλιών - GM-2956 - Gemei,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/gm2956.jpg,Gemei,No Color,0.6,"<p>Ισιώστε τα μαλλιά σας εύκολα και γρήγορα χωρίς φθορές και σπασίματα. Οι ειδικές κεραμικές πλάκες με κρυστάλλους τουρμαλίνης προστατεύουν τα μαλλιά σας από τη θερμότητα και το φριζάρισμα για ένα άψογο, λαμπερό αποτέλεσμα!</p><p>Κατάλληλο και για επαγγελματική χρήση.</p><p><strong>Χαρακτηριστικά προϊόντος:</strong></p><ul><li>Μέγιστη θερμοκρασία 200°C.</li><li>360 ° περιστρεφόμενο καλώδιο.</li><li>Εξαιρετικά γρήγορη προθέρμανση.</li><li>Διακόπτης ON/OFF</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη κομμωτηρίου>Ισιωτικές μαλλιών και ηλεκτρικές βούρτσες
36313,Ισιωτική μαλλιών - 3in1 - KM-1213 - Multistyler - ,Ισιωτική μαλλιών - 3in1 - KM-1213 - Multistyler - Kemei,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2809_312135_KM1213.jpeg,Kemei,No Color,0.8,"<p>Με την <strong>συσκευή ισιώματος μαλλιών</strong> 3 σε 1 της Kemei θα δημιουργήσετε εύκολα οποιοδήποτε look μπορείτε να φανταστείτε καθώς συνδυάζει τρεις διαφορετικές λειτουργίες σε ένα εργαλείο:</p><ul><li>Ισιωτική</li><li>Σωλήνας για μπούκλες</li><li>Πλάκες για κυματιστό look-τοστ.</li></ul><p>Φτιάξτε με μια συσκευή, σε ελάχιστο χρόνο, άψογα ίσια, σγουρά ή κυματιστά μαλλιά, χωρίς φθορές και σπασίματα χάρη στην τεχνολογία τουρμαλίνης!</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Κεραμικές πλάκες τουρμαλίνης</li><li>Μοντέρνος εργονομικός σχεδιασμός.</li><li>Πλαστικό περίβλημα ανθεκτικό στη θερμότητα.</li><li>Διακόπτης LED ON / OFF</li><li>Εύρος θερμοκρασίας: 180-200 ° C.</li><li>Γρήγορος χρόνος θέρμανσης (3 λεπτά)</li><li>Διάμετρος 25mm</li><li>Κλείδωμα ασφαλείας</li><li>Καλώδιο τροφοδοσίας περιστρεφόμενο 360 μοίρες.</li><li>110V-220V-50/60 HZ</li><li>40W.</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη κομμωτηρίου>Ισιωτικές μαλλιών και ηλεκτρικές βούρτσες
36502,Ισιωτική μαλλιών με τεχνολογία ατμ�,Ισιωτική μαλλιών με τεχνολογία ατμού - KM-3011 - Kemei,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/kemei-km-3011.jpg,Kemei,No Color,0.6,"<p>Πρωτοποριακή επαγγελματική ισιωτική πρέσα μαλλιών με τεχνολογία ατμού για άψογο ίσιωμα και υψηλή προστασία της τρίχας από τη θερμότητα και τη φθορά. Διαθέτει κεραμικές πλάκες τουρμαλίνης που προστατεύουν τα μαλλιά, και τεχνολογία ionic ώστε τα μαλλιά να μην ηλεκτρίζονται, για λείο και λαμπερό αποτελεσμα!</p><h3>Χαρακτηριστικά:</h3><ul><li>Ψηφιακό panel ένδειξης θερμοκρασίας</li><li>Σύστημα αυτόματης απενεργοποίησης για ασφάλεια</li><li>Άμεση θέρμανση σε 30""""</li><li>Περιστρεφόμενο καλώδιο 360 μοιρών</li><li>Ιονικές κεραμικές πλάκες τουρμαλίνης</li><li>Λαβή που κλειδώνει</li><li>Θερμοκρασία από 120 έως 200 βαθμούς C</li><li>Ισχύς: 65W</li><li>Τάση: 210-240V</li><li>Συχνότητα: 50Hz</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη κομμωτηρίου>Ισιωτικές μαλλιών και ηλεκτρικές βούρτσες
36509,Ισιωτική μαλλιών - KM-9941 - Kemei,Ισιωτική μαλλιών - KM-9941 - Kemei,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0504_399419.jpg,Kemei,No Color,0.8,"<p>Ισιωτική μαλλιών Kemei ΚΜ-5627 με κεραμικές πλάκες με τεχνολογία τουρμαλίνης που προστατεύει τα μαλλιά απ την θερμότητα και τη φθορά, για ένα λείο και λαμπερό αποτέλεσμα!</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Ισχύς: 40w</li><li>Εύρος θερμοκρασίας: 160 - 230℃</li><li>Χρόνος θέρμανσης: 30""""</li><li>Τάση: 100-240v 50. / 60hz</li><li>Διαστάσεις συσκευής: 28 x 3 cm</li><li>Μήκος καλωδίου: 1.2 m</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη κομμωτηρίου>Ισιωτικές μαλλιών και ηλεκτρικές βούρτσες
36786,Ισιωτική μαλλιών - KM-9939 - Kemei,Ισιωτική μαλλιών - KM-9939 - Kemei,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1507_399396.jpg,Kemei,No Color,0.5,"<p>Ισιωτική μαλλιών Kemei KM9939 με κεραμικές πλάκες τεχνολογίας Nano Silver για προστασία των μαλλιών από την φθορά της θερμότητας. Επιπλέον, διαθέτει φαρδιές πλάκες πλάτους 4,5 cm για ευκολότερο και γρηγορότερο ίσιωμα.</p><p><strong>Χαρακτηριστικά :</strong></p><ul><li>Ταχεία θέρμανση σε 40""""</li><li>Ρυθμίσεις θερμοκρασίας: 100, 150, 190, 230°C</li><li>Διακόπτης ενεργοποίησης με φωτεινή λυχνία λειτουργίας</li><li>Ισχύς 40 W</li><li>Τάση: 220-240v</li><li>Συχνότητα: 50/60HZ</li><li>Oδηγίες χρήσης στα Αγγλικά</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη κομμωτηρίου>Ισιωτικές μαλλιών και ηλεκτρικές βούρτσες
36911,Ισιωτική μαλλιών - KM-1037 - Kemei,Ισιωτική μαλλιών - KM-1037 - Kemei,in stock,new,18 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/310377_1310.jpg,Kemei,No Color,0.5,"<p>Η Ισιωτική της Kemei KM-1037, χάρη στις φαρδιές κεραμικές πλάκες της με διαστάσεις 4 x 10 cm θα σας βοηθήσει να ολοκληρώσετε το χτένισμα των μαλλιών σας στο μισό χρόνο! Διαθέτει ειδική επίστρωση τουρμαλίνης που προστατεύει τα μαλλιά από τη θερμότητα και την αλλοίωση. <br />Με τεχνολογία ταχείας θέρμανσης, σε μόνο 30''.</p><p><strong>Χαρακτηριστικά :</strong></p><p>Θερμοκρασία: 150-220C</p><p>Οθόνη Ψηφιακών Ενδείξεων θερμοκρασίας</p><p>Ισχύς: 65W</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη κομμωτηρίου>Ισιωτικές μαλλιών και ηλεκτρικές βούρτσες
37089,Ισιωτική μαλλιών - KM-7065 - Kemei,Ισιωτική μαλλιών - KM-7065 - Kemei,in stock,new,16.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/370654_1511.jpg,Kemei,No Color,0.4,"<p>Ισιωτική μαλλιών από την Kemei με κεραμικές πλάκες που διαθέτουν επίστρωση τουρμαλίνης για προστασία των μαλλιών από τη θερμότητα. Ο λεπτός σχεδιασμός με πλάκες πλάτους 2.5cm σας επιτρέπει να δημιουργήσετε πανεύκολα και καλοσχεδιασμένες μπούκλες με μία κίνηση.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Μέγιστη θερμoκρασία 230°C</li><li>Άμεση θέρμανση σε 30""""</li><li>Ψηφιακή οθόνη LCD με ένδειξη θερμοκρασίας</li><li>Περιστρεφόμενο καλώδιο 2m</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη κομμωτηρίου>Ισιωτικές μαλλιών και ηλεκτρικές βούρτσες
37090,Ισιωτική μαλλιών - KM-5625 - Kemei,Ισιωτική μαλλιών - KM-5625 - Kemei,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/356252_new.png,Kemei,No Color,0.4,"<p>Ισιωτική μαλλιών από την Kemei με κεραμικές πλάκες που διαθέτουν επίστρωση τουρμαλίνης για προστασία των μαλλιών από τη θερμότητα. Ο λεπτός σχεδιασμός με πλάκες πλάτους 2.5cm σας επιτρέπει να δημιουργήσετε πανεύκολα και καλοσχεδιασμένες μπούκλες με μία κίνηση.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Μέγιστη θερμoκρασία 230°C</li><li>Άμεση θέρμανση σε 30""""</li><li>Ψηφιακή οθόνη LCD με ένδειξη θερμοκρασίας</li><li>Περιστρεφόμενο καλώδιο 2m</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη κομμωτηρίου>Ισιωτικές μαλλιών και ηλεκτρικές βούρτσες
37092,Ισιωτική μαλλιών ατμού - KM-9090 - Steam Plyw,Ισιωτική μαλλιών ατμού - KM-9090 - Steam Plywood - Kemei,in stock,new,90 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/305779_1511.jpeg,Kemei,No Color,2.5,"<div class=""sku-description""><div class=""simple-description js-description-html""><p>Ισιωτικό σίδερο KEMEI KM-9090 STEAM που προσφέρει απόλυτο ίσιωμα, ανεξάρτητα από τον τύπο μαλλιών, χάρη στην συνεχή και προγραμματισμένη ροή ατμού και στη ρυθμιζόμενη θερμοκρασία (από 150C έως 230C). Ο ατμός προστατεύει την τρίχα από τη θερμότητα και την αφήνει ενυδατωμένη και λαμπερή για μεγάλο χρονικό διάστημα.</p><h3>Χαρακτηριστικά:</h3><ul><li>Ρυθμιζόμενη θερμοκρασία, ώστε να προσαρμόζεται στις απαιτήσεις των διαφορετικών τύπων μαλλιών & στους διαφορετικούς βαθμούς ευαισθησίας τους</li><li>Ταχύτερο κατά 50% ίσιωμα σε σχέση με τα συμβατικά σίδερα ισιώματος</li><li>Ρύθμιση ροής ατμού για άριστη προσαρμογή στους διάφορους τύπους μαλλιών</li><li>Αυτόματη διακοπή λειτουργίας της συσκευής μετά από μία ώρα</li><li>Σταθερή και συνεχής ροή ατμού σε όλο τα μήκος των μαλλιών</li><li>Ψηφιακή οθόνη ένδειξης θερμοκρασίας</li></ul></div></div>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη κομμωτηρίου>Ισιωτικές μαλλιών και ηλεκτρικές βούρτσες
