id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35249,Φουρνάκι νυχιών UV/LED - 36W - Quick CCFL - 671230,Φουρνάκι νυχιών UV/LED - 36W - Quick CCFL - 671230,in stock,new,30.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/671230.png,SUN,Pink,1.5,"<p>Επαγγελματικό φουρνάκι νυχιών κατάλληλο για πολυμερισμό gel και ημιμόνιμου βερνικιού όλων των εταιριών.</p><p>Λειτουργεί με 1 κεντρική λυχνία UV 12<span class=""caps"">W</span> στην πάνω πλευρά & 12 <span class=""caps"">LED λάμπες </span>περιμετρικά.</p><p>Κατάλληλο για μανικιούρ και πεντικιούρ.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Ισχυς: 36 <span class=""caps"">W</span> (18×2 <span class=""caps"">W</span>).</li><li>Διαστάσεις 17,4×15.5</li><li>Με χρονοδιακόπτη λειτουργίας στα 10, 20 & 30sec.</li><li>Αφαιρούμενη βάση</li></ul><p>Χρώμα αποστολής κατόπιν διαθεσιμότητας.</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Φουρνάκια νυχιών
36570,Φουρνάκι νυχιών UV/LED - T11 - 160W - 631286,Φουρνάκι νυχιών UV/LED - T11 - 160W - 631286,in stock,new,32.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_631286.jpg,SUN,White,1.5,"<p>Επαγγελματικό φουρνάκι νυχιών, κατάλληλο για τον πολυμερισμό gel και ημιμόνιμου βερνικιού όλων των εταιριών.</p><p>Διαθέτει αισθητήρα αφής για αυτόματη ενεργοποίηση μόλις τοποθετήσετε το χέρι σας και ενσωματωμένο χρονοδιακόπτη.</p><p>Κατάλληλο για χρήση σε χέρια και πόδια.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Αυτόματος χρονοδιακόπτης 10s, 30s, 60s,</li><li>ειδική λειτουργία χαμηλής θερμοκρασίας 99s</li><li>Ισχύς: 160W</li><li><span class=""attr-name J-attr-name"" title=""LED"">LED: </span>54 τεμ</li><li><span class=""attr-name J-attr-name"" title=""Τάση"">Τάση: </span>100-240V 50 / 60Hz</li><li>Μέγεθος: 273*220*117mm</li></ul><dl id="""" class=""do-entry-item""></dl><dl id="""" class=""do-entry-item""></dl>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Φουρνάκια νυχιών
36571,Φουρνάκι νυχιών UV/LED - SUN X5 PLUS - 631316 - Pin,Φουρνάκι νυχιών UV/LED - SUN X5 PLUS - 631316 - Pink,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/631316.png,SUN,Pink,1.5,"<p>Eπαγγελματικό Φουρνάκι Νυχιών SUN 5X Plus 80W σε μεταλλικό χρώμα 3D . Περιέχει 45 led στρατηγικά τοποθετημένα ώστε να μην υπάρχουν «νεκρές ζώνες» εξασφαλίζοντας τη μέγιστη απόδοση, χωρίς απώλειες στον πολυμερισμό. Εξαιρετική ποιότητα κατασκευής, ιδανική για συνεχόμενη και εντατική χρήση χωρίς να προκαλεί την αίσθηση του «καψίματος» κατά τον πολυμερισμό.</p><h3>Χαρακτηριστικά</h3><ul><li><strong>ΔΙΠΛΟ ΦΑΣΜΑ ΛΕΙΤΟΥΡΓΙΑΣ</strong>: Από 315nm έως 400nm</li><li>Αισθητήρας που ενεργοποιεί τη συσκευή μόλις τοποθετήσετε το χέρι σας και απενεργοποιείται όταν το απομακρύνεται.</li><li>Ψηφιακή ένδειξη χρόνου LED.</li><li>Sun light φωτισμός για προστασία των ματιών</li><li>Χρονοδιακόπτες: 10″, 30″, 60″ και 99″S</li><li>Τάση εισόδου: 100-240V</li><li>Μέγεθος: 22 cm * 10 cm * 13 cm</li></ul><p>Χρώματα: Ασημί,Ροζ,Μπλε (Σημειώστε το χρώμα που επιθυμείτε στις σημειώσεις παραγγελίας σας - Αποστολή κατόπιν διαθεσιμότητας)</p><h4>Περιεχόμενα</h4><ul><li>SUN 5X Plus 80W  σε  μεταλλικό χρώμα 3D  μοντέλο 2021</li><li>Φορτιστής</li><li>Οδηγίες χρήσης</li><li>Χρώμα: Ασημί,Φούξια,Μπλε</li></ul><p> </p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Φουρνάκια νυχιών
36572,Φουρνάκι νυχιών UV/LED - T10 - 631293,Φουρνάκι νυχιών UV/LED - T10 - 631293,in stock,new,34.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_631293.jpg,SUN,White,1.5,"<p>Επαγγελματικό φουρνάκι νυχιών, κατάλληλο για τον πολυμερισμό gel και ημιμόνιμου βερνικιού όλων των εταιριών.</p><p>Διαθέτει αισθητήρα αφής για αυτόματη ενεργοποίηση μόλις τοποθετήσετε το χέρι σας και ενσωματωμένο χρονοδιακόπτη.</p><p>Κατάλληλο για χρήση σε χέρια και πόδια.</p><p>Με 54 led, στρατηγικά τοποθετημένα ώστε να μην υπάρχουν «νεκρές ζώνες» εξασφαλίζοντας τη μέγιστη απόδοση, χωρίς απώλειες στον πολυμερισμό.</p><p><strong> Χαρακτηριστικά:</strong></p><p>Ψηφιακή οθόνη <br />Άμεσος πολυμερισμός σε όλα τα υλικά, ανεξαρτήτως εταιρείας και σύστασης του προϊόντος. <br />Χρονοδιακόπτης 30s, 60s, 90s,120s<br />Πολυμερίζει όλα τα builder gels, uv gels, polygel και ημιμόνιμα βερνίκια<br />Αποσπώμενη βάση<br />Sun light φωτισμός για προστασία των ματιών<br />Μέγεθος : 270/210/105</p><p>Ισχύς: 160W</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Φουρνάκια νυχιών
36573,Φουρνάκι νυχιών UV/LED - 9T - 72W - 631170,Φουρνάκι νυχιών UV/LED - 9T - 72W - 631170,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_631170.jpg,SUN,White,1.5,"<p>Επαγγελματικό φουρνάκι νυχιών, κατάλληλο για τον πολυμερισμό gel και ημιμόνιμου βερνικιού όλων των εταιριών.</p><p>Διαθέτει αισθητήρα αφής για αυτόματη ενεργοποίηση μόλις τοποθετήσετε το χέρι σας και ενσωματωμένο χρονοδιακόπτη.</p><p>Κατάλληλο για χρήση σε χέρια και πόδια.</p><p><strong> Χαρακτηριστικά:</strong></p><ul><li>Ισχύς:72W</li><li>Ψηφιακή οθόνη</li><li>Χρονοδιακόπτης 10, 30,  60 & 99sec</li><li>Άμεσος πολυμερισμός σε όλα τα υλικά, ανεξαρτήτως εταιρείας και σύστασης του προϊόντος.</li><li>Εξαιρετική ποιότητα κατασκευής, ιδανική για συνεχόμενη και εντατική χρήση χωρίς να προκαλεί την αίσθηση του «καψίματος» κατά τον πολυμερισμό.</li></ul><p>Χρώμα αποστολής κατόπιν διαθεσιμότητας.</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Φουρνάκια νυχιών
36575,Φουρνάκι νυχιών UV/LED - F8 - 86W - 631262,Φουρνάκι νυχιών UV/LED - F8 - 86W - 631262,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_631262.jpg,SUN,White,1.5,"<p>Επαγγελματικό φουρνάκι νυχιών, κατάλληλο για τον πολυμερισμό gel και ημιμόνιμου βερνικιού όλων των εταιριών.</p><p>Διαθέτει αισθητήρα αφής για αυτόματη ενεργοποίηση μόλις τοποθετήσετε το χέρι σας και ενσωματωμένο χρονοδιακόπτη.</p><p>Κατάλληλο για χρήση σε χέρια και πόδια.</p><ul><li>Ισχύς: 86w</li><li>Χρονοδιακόπτης 10-30-60-99 δευτερόλεπτα</li><li>Διατηρεί χαμηλά τη θερμοκρασία στο νύχι και έτσι μειώνεται η αίσθηση του καψίματος κατά 80%.</li><li>39 led, κατανεμημένα πάνω στο σκελετό έτσι ώστε να μην υπάρχουν νεκρές ζώνες.</li><li>Ψηφιακή οθόνη μέτρησης χρόνου</li><li>Αποσπώμενη βάση με ειδικές εγκοπές</li><li>Διπλό μήκος κύματος ( 365 & 405 nm) για άμεσο πολυμερισμό σε όλα τα υλικά, ανεξαρτήτως εταιρείας και σύστασης του προϊόντος.</li><li>Πολυμερίζει όλα τα builder gels, uv gels και ημιμόνιμα βερνίκια, όλων των εταιριών.</li><li>    Sun light φωτισμός για προστασία των ματιών</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Φουρνάκια νυχιών
36576,Φουρνάκι νυχιών UV/LED - F9 - 108W - 631279,Φουρνάκι νυχιών UV/LED - F9 - 108W - 631279,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_631279.jpg,SUN,White,1.5,"<p>Επαγγελματικό φουρνάκι νυχιών, κατάλληλο για τον πολυμερισμό gel και ημιμόνιμου βερνικιού όλων των εταιριών.</p><p>Διαθέτει αισθητήρα αφής για αυτόματη ενεργοποίηση μόλις τοποθετήσετε το χέρι σας και ενσωματωμένο χρονοδιακόπτη.</p><p>Κατάλληλο για χρήση σε χέρια και πόδια.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>Ισχύς: 108w</li><li>Χρονοδιακόπτης 30-60-90-120 δευτερόλεπτα.</li><li>Διατηρεί χαμηλά τη θερμοκρασία στο νύχι και έτσι μειώνεται η αίσθηση του καψίματος κατά 80%.</li><li>39 led, κατανεμημένα πάνω στο σκελετό έτσι ώστε να μην υπάρχουν νεκρές ζώνες.</li><li>Ψηφιακή οθόνη μέτρησης χρόνου</li><li>Αποσπώμενη βάση με ειδικές εγκοπές</li><li>Διπλό μήκος κύματος ( 365 & 405 nm) για άμεσο πολυμερισμό σε όλα τα υλικά, ανεξαρτήτως εταιρείας και σύστασης του προϊόντος.</li><li>Εξαιρετική ποιότητα κατασκευής, ιδανική για συνεχόμενη και εντατική χρήση</li><li>Πολυμερίζει όλα τα builder gels, uv gels και ημιμόνιμα βερνίκια, όλων των εταιριών.</li><li>Sun light φωτισμός για προστασία των ματιών</li><li>Ιδανικό για μανικιούρ και pedicure</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Φουρνάκια νυχιών
36577,Φουρνάκι νυχιών UV/LED - Star 5 - 72W - 631187 - Wh,Φουρνάκι νυχιών UV/LED - Star 5 - 72W - 631187 - White,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_631187.jpg,SUN,White,1.5,"<p>Επαγγελματικό φουρνάκι νυχιών, κατάλληλο για τον πολυμερισμό gel και ημιμόνιμου βερνικιού όλων των εταιριών.</p><p>Διαθέτει αισθητήρα αφής για αυτόματη ενεργοποίηση μόλις τοποθετήσετε το χέρι σας και ενσωματωμένο χρονοδιακόπτη.</p><p>Κατάλληλο για χρήση σε χέρια και πόδια.</p><p>Λειτουργεί με διπλό μήκος κύματος ( 365 & 405 nm) για άμεσο πολυμερισμό σε όλα τα υλικά, ανεξαρτήτως εταιρείας και σύστασης του προϊόντος.</p><p><strong> Χαρακτηριστικά:</strong></p><ul><li>Χρονοδιακόπτης 10, 30, 60 & 99 sec.</li><li>Ψηφιακή οθόνη</li><li>Πολυμερίζει όλα τα builder gels, uv gels και ημιμόνιμα βερνίκια</li><li>33 led</li><li>Διαθέτει ανεμιστήρα</li><li>Sun light φωτισμός για προστασία των ματιών</li><li>Αφαιρούμενη βάση</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Φουρνάκια νυχιών
36596,Φουρνάκι νυχιών UV/LED - F6 - 86W - 631323,Φουρνάκι νυχιών UV/LED - F6 - 86W - 631323,in stock,new,28.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_631323.jpg,SUN,Silver,1.5,"<p>Επαγγελματικό φουρνάκι νυχιών 86W, κατάλληλο για τον πολυμερισμό gel και ημιμόνιμου βερνικιού όλων των εταιριών.</p><p>Διαθέτει αισθητήρα αφής για αυτόματη ενεργοποίηση μόλις τοποθετήσετε το χέρι σας και ενσωματωμένο χρονοδιακόπτη.</p><p>Κατάλληλο για χρήση σε χέρια και πόδια.</p><p><strong>Χαρακτηριστικά:</strong></p><ul><li>39 LED διπλής πηγής φωτός (365 + 405nm)</li><li>Χρονοδιακόπτης 10-30-60-99 δευτερόλεπτα</li><li>365 & 405 nm για άμεσο πολυμερισμό σε όλα τα υλικά</li><li>Χαμηλής κατανάλωσης ρεύματος για εξοικονόμηση ενέργειας</li><li>Εξαιρετική ποιότητα κατασκευής, ιδανική για συνεχόμενη και εντατική χρήση</li><li>Ψηφιακή οθόνη μέτρησης χρόνου</li><li>Αποσπώμενη βάση με ειδικές εγκοπές</li><li>Υπέρυθρος αισθητήρας ενεργοποίησης</li><li>Άνετο αντιθαμβωτικό φως </li><li>Μέγεθος: 205x205x175mm</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Φουρνάκια νυχιών
36597,Φουρνάκι νυχιών UV/LED - SUN X5 MAX - 80W - 631309 ,Φουρνάκι νυχιών UV/LED - SUN X5 MAX - 80W - 631309 - Blue,in stock,new,23.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/16180458988735862-1.jpg,SUN,Blue,1.5,"<div class=""column""><div class=""body-text""><p>Eπαγγελματικό Φουρνάκι Νυχιών SUN 5X Plus 80W σε μεταλλικό χρώμα 3D . Περιέχει 45 led στρατηγικά τοποθετημένα ώστε να μην υπάρχουν «νεκρές ζώνες» εξασφαλίζοντας τη μέγιστη απόδοση, χωρίς απώλειες στον πολυμερισμό. Εξαιρετική ποιότητα κατασκευής, ιδανική για συνεχόμενη και εντατική χρήση χωρίς να προκαλεί την αίσθηση του «καψίματος» κατά τον πολυμερισμό.</p><h4>Χαρακτηριστικά:</h4><ul><li>Διπλό φάσμα λειτουργίας: Από 315nm έως 400nm</li><li>Αισθητήρας που ενεργοποιεί τη συσκευή μόλις τοποθετήσετε το χέρι σας και απενεργοποιείται όταν το απομακρύνεται.</li><li>Ψηφιακή ένδειξη χρόνου LED.</li><li>Sun light φωτισμός για προστασία των ματιών</li><li>Χρονοδιακόπτες: 10″, 30″, 60″ και 99″S</li><li>Τάση εισόδου: 100-240V</li><li>Μέγεθος: 22 cm * 10 cm * 13 cm</li></ul><p>Χρώματα: Ασημί,Φούξια,Μπλε (Σημειώστε το χρώμα που επιθυμείτε στις σημειώσεις παραγγελίας σας - Αποστολή κατόπιν διαθεσιμότητας)</p><h4>Η συσκευασία περιλαμβάνει:</h4><ul><li>SUN 5X Plus 80W  σε  μεταλλικό χρώμα 3D  μοντέλο 2021</li><li>Φορτιστής</li><li>Οδηγίες χρήσης</li></ul><p> </p></div></div>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ & Fitness>Είδη περιποίησης νυχιών & μακιγιάζ>Φουρνάκια νυχιών
