id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36614,Φακός κεφαλής LED – Headlamp - 196-T6 - 501964,Φακός κεφαλής LED – Headlamp - 196-T6 - 501964,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1305_501964.jpg,OEM,No Color,0.6,"<div id=""accordionContent"" class=""collapse show singleProductInfo""><div class=""product-detail_content""><p>Επαναφορτιζόμενος φακός κεφαλής LED υψηλής φωτεινότητας και ισχύος.<br />Ρυθμιζόμενο λουράκι.<br />Αυτονομία έως 3 ώρες. </p><p>Περιλαμβάνεται επαναφορτιζόμενη μπαταρία & Καλώδιο φόρτισης USB.</p></div></div>",ΦΩΤΙΣΜΟΣ & ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί κεφαλής
37193,Φακός κεφαλής LED – Headlamp - BL-2199-T6 - 521993,Φακός κεφαλής LED – Headlamp - BL-2199-T6 - 521993,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/521993_812.jpg,Bailong,No Color,0.6,"<div class=""simple-description js-description-html""><p>Επαναφορτιζόμενος φακός κεφαλής Led με Ζoom Bailong BL-2199-T6.<br />Κατασκευή από σκληρό αλουμίνιο, ανθεκτικός στο νερό και την υγρασία, κατάλληλος για δραστηριότητες-χόμπι και επαγγελματική χρήση.</p></div><div class=""rich-components""><section class=""one-column""><p>Χαρακτηριστικά:</p><div class=""body-text""><ul><li>1 Led ultra bright</li><li>Ισχύς: 10 watt</li><li>1200 lumens</li><li>3 Διαφορετικές σκάλες λειτουργίας - δυνατό, χαμηλό και λειτουργία SOS</li><li>Ρύθμιση δέσμης και έντασης με τη λειτουργία zoom</li><li>Ανθεκτικός στη βροχή και τις καιρικές συνθήκες</li><li>Αυτονομία μπαταρίας 3 ώρες</li><li>Λειτουργεί με 2 επαναφορτιζόμενες μπαταρίες λιθίου 8800mAh 3.7V 18650</li></ul></div></section></div>",ΦΩΤΙΣΜΟΣ & ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί κεφαλής
37347,Φακός κεφαλής LED – Headlamp - BL-K85-T6 - 500856,Φακός κεφαλής LED – Headlamp - BL-K85-T6 - 500856,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0911_500856-1.jpg,Bailong,No Color,0.6,"<div class=""features-list""><div class=""item-tag"">Σύνολο Πομπών: 3</div></div><div class=""features-list""><div class=""item-tag"">Λειτουργία Εναλλαγής: ( Υψηλή &gt; Μεσαία &gt; Χαμηλή)</div></div><div class=""features-list""><div class=""item-tag"">Φωτεινότητα (lm): 2400</div></div><div class=""features-list""><div class=""item-tag"">Περιλαμβάνει: Μπαταρίες και φορτιστή</div></div><div class=""features-list""><div class=""item-tag"">Υλικό Σώματος: Κράμα Αλουμινίου</div></div><div class=""features-list""><div class=""number-tag"">Αδιάβροχος: IPX-4</div></div>",ΦΩΤΙΣΜΟΣ & ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί κεφαλής
37348,Φακός κεφαλής LED – Headlamp - BL-T76-T6 - 500769,Φακός κεφαλής LED – Headlamp - BL-T76-T6 - 500769,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0911_500769-1.jpeg,Bailong,No Color,0.6,"<div class=""features-list""><div class=""item-tag"">Σύνολο Πομπών: 7</div></div><div class=""features-list""><div class=""item-tag"">Λειτουργία Εναλλαγής: ( Υψηλή &gt; Μεσαία &gt; Χαμηλή)</div></div><div class=""features-list""><div class=""item-tag"">Φωτεινότητα (lm): 2400</div></div><div class=""features-list""><div class=""item-tag"">Περιλαμβάνει: Μπαταρίες και φορτιστή</div></div><div class=""features-list""><div class=""item-tag"">Υλικό Σώματος: Αλουμίνιο</div></div><div class=""features-list""><div class=""number-tag"">Αδιάβροχος: IPX-4</div></div>",ΦΩΤΙΣΜΟΣ & ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί κεφαλής
37513,Φακός κεφαλής LED – Headlamp - 8806 - 238063,Φακός κεφαλής LED – Headlamp - 8806 - 238063,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/238063_1009.jpg,OEM,No Color,0.6,"<div id=""tab-description"" class=""panel entry-content wc-tab""><p>Επαναφορτιζόμενος προβολέας κεφαλής LED, με ισχυρό φωτισμό και μεγάλη αυτονομία μπαταρίας, κατάλληλος για επαγγελματική χρήση. Είναι κατασκευασμένος από πλαστικό ABS με μέγιστη ανθεκτικότητα.</p><p>Με ενσωματωμένη επαναφορτιζόμενη μπαταρία Λιθίου. Φορτίζει με καλώδιο USB (περιλαμβάνεται).</p><p>Χρόνος ζωής: 10.000 ώρες</p></div>",ΦΩΤΙΣΜΟΣ & ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί κεφαλής
37777,Φακός κεφαλής LED – Headlamp - GB40 - 180117,Φακός κεφαλής LED – Headlamp - GB40 - 180117,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/180117_811.jpg,OEM,No Color,0.6,"Επαναφορτιζόμενος φακός κεφαλής υψηλής φωτεινότητας και ισχύος με 2 λαμπτήρες LED.
Ρυθμιζόμενο λουρί εφαρμογής.
Εύρος φωτισμού: 270°",ΦΩΤΙΣΜΟΣ & ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί κεφαλής
38039,Φακός κεφαλής LED – Headlamp - 109-3 - 181243,Φακός κεφαλής LED – Headlamp - 109-3 - 181243,in stock,new,15.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/181243.jpg,OEM,No Color,0.6,"<p>Επαναφορτιζόμενος προβολέας κεφαλής LED, με ισχυρό φωτισμό και μεγάλη αυτονομία μπαταρίας, κατάλληλος για επαγγελματική χρήση. Είναι κατασκευασμένος από πλαστικό ABS με μέγιστη ανθεκτικότητα.</p><p>Με ενσωματωμένη επαναφορτιζόμενη μπαταρία Λιθίου. <br />Φορτίζει με καλώδιο USB (περιλαμβάνεται). <br />Διαθέτει ρυθμιζόμενο λουρί εφαρμογής.</p>",ΦΩΤΙΣΜΟΣ & ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί κεφαλής
38043,Φακός κεφαλής LED – Headlamp - T125 - 630004,Φακός κεφαλής LED – Headlamp - T125 - 630004,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/630004.jpg,OEM,No Color,0.6,"<p>Επαναφορτιζόμενος προβολέας κεφαλής LED, με ισχυρό φωτισμό και μεγάλη αυτονομία μπαταρίας, κατάλληλος για επαγγελματική χρήση. Είναι κατασκευασμένος από πλαστικό ABS με μέγιστη ανθεκτικότητα.</p><p>Με ενσωματωμένη επαναφορτιζόμενη μπαταρία Λιθίου. <br />Φορτίζει με καλώδιο USB (περιλαμβάνεται). <br />Διαθέτει ρυθμιζόμενο λουρί εφαρμογής.</p>",ΦΩΤΙΣΜΟΣ & ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί κεφαλής
38148,Φακός κεφαλής LED – Headlamp - XQT282 - 182653,Φακός κεφαλής LED – Headlamp - XQT282 - 182653,in stock,new,14.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/182653.png,OEM,No Color,0.6,"<p>Επαναφορτιζόμενος προβολέας κεφαλής LED, με ισχυρό φωτισμό και μεγάλη αυτονομία μπαταρίας, κατάλληλος για επαγγελματική χρήση. Είναι κατασκευασμένος από πλαστικό ABS με μέγιστη ανθεκτικότητα.</p><p>Περιλαμβάνονται 2 x επαναφορτιζόμενες μπαταρίες Λιθίου. <br />Αυτονομία μπαταρίας έως 4 ώρες.<br />Φορτίζει με καλώδιο USB (περιλαμβάνεται). <br />Διαθέτει ρυθμιζόμενο λουρί εφαρμογής.</p>",ΦΩΤΙΣΜΟΣ & ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί κεφαλής
38264,Φακός κεφαλής LED - Headlamp - 0158A - 186156,Φακός κεφαλής LED - Headlamp - 0158A - 186156,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/186156.jpg,OEM,No Color,0.6,"<p>Επαναφορτιζόμενος προβολέας κεφαλής LED, με ισχυρό φωτισμό 3 πομπών και μεγάλη αυτονομία μπαταρίας, κατάλληλος για επαγγελματική χρήση. Είναι κατασκευασμένος από πλαστικό ABS με μέγιστη ανθεκτικότητα.</p><p>Με ενσωματωμένη επαναφορτιζόμενη μπαταρία Λιθίου. <br />Φορτίζει με καλώδιο USB (περιλαμβάνεται). <br />Διαθέτει ρυθμιζόμενο λουρί εφαρμογής.<br />Αυτονομία μπαταρίας: έως 3 ώρες.</p>",ΦΩΤΙΣΜΟΣ & ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί κεφαλής
38265,Φακός κεφαλής LED – Headlamp - SL11 - 182813,Φακός κεφαλής LED – Headlamp - SL11 - 182813,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/182813.jpg,OEM,No Color,0.6,"<p>Επαναφορτιζόμενος προβολέας κεφαλής LED, με ισχυρό φωτισμό και μεγάλη αυτονομία μπαταρίας, κατάλληλος για επαγγελματική χρήση. Είναι κατασκευασμένος από πλαστικό ABS με μέγιστη ανθεκτικότητα.</p><p>Με ενσωματωμένη επαναφορτιζόμενη μπαταρία Λιθίου. <br />Φορτίζει με καλώδιο USB (περιλαμβάνεται). <br />Διαθέτει ρυθμιζόμενο λουρί εφαρμογής.</p>",ΦΩΤΙΣΜΟΣ & ΕΝΕΡΓΕΙΑ>Φακοί>Φακοί κεφαλής
